Sl No.,Bank Name,KCCs for AH and Allied Activities No,KCCs for AH and Allied Activities Amt,Farm Produc- tion A/C,Farm Production amt,Dairy no,Dairy Amt,Farm Mech- anisation No,Farm Mecha- nisation Amt,Poultry No,Poultry Amt,fisheries no,fisheries Amt,Godown No,Godown Amt,Clinic No,Clinic Amt,Other No,Other Amt,Total IC- Agri Disb No.,Total IC- Agri Disb Amt.
1,BOB,14,25.04,0,0,6,6.09,0,0,5,5.3,0,0,0,0,0,0,6,60.6,31,97.03
2,BOI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,BOM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,CAN,2,2.09,0,0,3,3.59,0,0,2,8.51,2,3,0,0,0,0,166,330.03,175,347.22
5,CBI,15,0.39,0,0,0,0,0,0,11,0.18,0,0,0,0,0,0,0,0,26,0.57
6,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,IOB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,PNB,3,0.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,18.35,15,19.27
9,PSB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,SBI,1,1.3,0,0,23,29.92,0,0,83,133.27,7,11.53,0,0,0,0,0,0,114,176.02
11,UCO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160.08,0,160.08
12,UNI,4,9.89,0,0,3,11,0,0,2,7.96,0,0,0,0,0,0,51,351.13,60,379.98
Pub,Total,39,39.63,0,0,35,50.6,0,0,103,155.22,9,14.53,0,0,0,0,235,920.19,421,1180.17
1,AXIS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,BAND,0,0,0,0,0,0,0,0,44,28.5,4,4,0,0,0,0,0,0,48,32.5
3,FED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,HDFC,0,0,0,0,0,0,19,47.13,0,0,0,0,0,0,0,0,890,575.53,909,622.66
5,ICICI,0,0,0,0,2,0.15,0,0,3,0.34,0,0,0,0,0,0,261,414.15,266,414.64
6,IDBI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8.5,4,8.5
7,IDFC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,INDUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,KMB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,SIB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Priv,Total,0,0,0,0,2,0.15,19,47.13,47,28.84,4,4,0,0,0,0,1155,998.18,1227,1078.3
1,ESAF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8.64,2,8.64
2,JSF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,SSFB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,UJJIVAN,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,11,15,12,16
Small FB,Total,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,13,23.64,14,24.64
1,MLRB,7,6.72,0,0,4,5.26,0,0,1,0.6,0,0,0,0,0,0,94,135.47,106,148.05
RRB,Total,7,6.72,0,0,4,5.26,0,0,1,0.6,0,0,0,0,0,0,94,135.47,106,148.05
1,JUCB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,MCAB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,SCUB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,TCUB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grand,Total,46,46.35,0,0,42,57.01,19,47.13,151,184.66,13,18.53,0,0,0,0,1497,2077.48,1768,2431.16
