Sl No.,Bank Name,Crop Loan A/C,Crop Loan Amt,Forestry and wasteland Dev. A/C Nos,Forestry and waste- land Dev. Amt,Water Resource A/C Nos,Water Resource Amount,Farm mechani- zation A/C Nos,Farm mech- anization Amount,Plantation & horticul- ture A/C Nos,Plantation & horti- culture Amount,Animal Husband- ry A/C Nos,Animal Hus- bandry Amount,Fishery A/C Nos,Fishery Amount,Farm Credit Others A/C Nos,Farm Credit Others Amount,Agri. Infrastruc- ture Ac,Agri. Infra- structure Amt,Ancillary Activities Ac,Ancillary Activities Amt,Tot Agri (PS) Disb No.,Tot Agri (PS) Disb Amt
1,BOB,171,165.39,0,0,0,0,0,0,0,0,14,25.04,0,0,37,83.1,1,0.05,6,24.5,229,298.08
2,BOI,17,65.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,72.88,34,138.76
3,BOM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,74.41,5,74.41
4,CAN,334,352.5,0,0,0,0,0,0,0,0,0,0,0,0,72,41.65,0,0,41,89.82,447,483.97
5,CBI,67,77.17,0,0,0,0,0,0,0,0,19,19.97,0,0,472,906.71,0,0,1,0.77,559,1004.62
6,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,519,0,0,2,519
7,IOB,5,21.5,0,0,0,0,0,0,0,0,0,0,0,0,8,27.2,0,0,0,0,13,48.7
8,PNB,86,143.58,0,0,0,0,0,0,0,0,3,0.92,0,0,0,0,0,0,9,52,98,196.5
9,PSB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,SBI,17078,12409.14,0,0,0,0,0,0,0,0,0,0,0,0,571,1658.23,0,0,339,1254.09,17988,15321.46
11,UCO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3.45,2,3.45
12,UNI,87,56.99,0,0,0,0,0,0,0,0,0,0,0,0,44,295.25,3,12.53,8,58.86,142,423.63
Pub,Total,17845,13292.15,0,0,0,0,0,0,0,0,36,45.93,0,0,1204,3012.14,6,531.58,428,1630.78,19519,18512.58
1,AXIS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,829,349.04,0,0,1,13.15,830,362.19
2,BAND,139,104.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204,163.15,343,267.75
3,FED,6,10.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.02,7,10.73
4,HDFC,2,7.49,9,25.12,0,0,19,47.13,0,0,0,0,0,0,881,452.42,0,0,2,103.77,913,635.93
5,ICICI,0,0,0,0,0,0,266,414.64,0,0,0,0,0,0,0,0,0,0,0,0,266,414.64
6,IDBI,3,3.54,0,0,0,0,0,0,0,0,0,0,0,0,2,13.6,0,0,3,7.8,8,24.94
7,IDFC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,INDUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,KMB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,SIB,15,61.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,61.06
11,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Priv,Total,165,187.4,9,25.12,0,0,285,461.77,0,0,0,0,0,0,1712,815.06,0,0,211,287.89,2382,1777.24
1,ESAF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8.64,0,0,0,0,2,8.64
2,JSF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,SSFB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,UJJIVAN,0,0,12,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,16
Small FB,Total,0,0,12,16,0,0,0,0,0,0,0,0,0,0,2,8.64,0,0,0,0,14,24.64
1,MLRB,8665,7341.48,0,0,0,0,0,0,17,84.91,89,63.14,0,0,1134,2722.62,0,0,0,0,9905,10212.15
RRB,Total,8665,7341.48,0,0,0,0,0,0,17,84.91,89,63.14,0,0,1134,2722.62,0,0,0,0,9905,10212.15
1,JUCB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,MCAB,756,727.6,0,0,0,0,0,0,0,0,207,217.32,11,8.41,0,0,331,242.22,0,0,1305,1195.55
3,SCUB,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
4,TCUB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grand,Total,27432,21550.63,21,41.12,0,0,285,461.77,17,84.91,332,326.39,11,8.41,4052,6558.46,337,773.8,639,1918.67,33126,31724.16
