Sl No.,Bank Name,CHRISTIANS No.,CHRISTIANS Amt,MUSLIMS No,MUSLIMS Amt.,BUDDHISTS No,BUDDHISTS Amt.,SIKHS No.,SIKHS Amt.,ZORASTRIANS No.,ZORASTRIANS Amt.,JAINS No.,JAINS Amt.,Tot Minority Disb No.,Tot Minority Disb Amt.
1,BOB,52,401.35,0,0,1,3,16,1104.81,0,0,1,5,70,1514.16
2,BOI,180,634.96,15,88.9,0,0,35,95.2,0,0,0,0,230,819.06
3,BOM,3,6.45,1,0.72,0,0,0,0,0,0,0,0,4,7.17
4,CAN,549,1939.01,15,46.54,7,12.7,55,95.04,1,0.51,1,2,628,2095.8
5,CBI,0,0,356,1063.79,6,5.02,11,57.58,0,0,0,0,373,1126.39
6,IND,0,0,1,0.18,0,0,4,37.9,0,0,0,0,5,38.08
7,IOB,20,102.17,0,0,0,0,0,0,0,0,0,0,20,102.17
8,PNB,520,2874.33,9,196.85,0,0,3,20.26,0,0,0,0,532,3091.44
9,PSB,6,10.5,1,0.18,0,0,2,6.5,0,0,0,0,9,17.18
10,SBI,0,0,1720,9423.59,38,257.29,76,399.3,0,0,6,274.68,1840,10354.86
11,UCO,0,0,0,0,0,0,3,2.27,0,0,0,0,3,2.27
12,UNI,587,3260.84,12,32.31,0,0,7,23.65,0,0,0,0,606,3316.8
Pub,Total,1917,9229.61,2130,10853.06,52,278.01,212,1842.51,1,0.51,8,281.68,4320,22485.38
1,AXIS,0,0,30,80.57,0,0,6,16.64,2,0.7,0,0,38,97.91
2,BAND,2418,2159.06,83,106.38,3,1.8,9,7.21,0,0,1,0.5,2514,2274.95
3,FED,190,1524.15,13,58.15,0,0,1,0.2,0,0,0,0,204,1582.5
4,HDFC,0,0,38,420.91,4,9.91,2,77.88,0,0,4,713.73,48,1222.43
5,ICICI,0,0,251,634.55,0,0,0,0,0,0,2,245,253,879.55
6,IDBI,0,0,2,9.54,0,0,0,0,0,0,0,0,2,9.54
7,IDFC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,INDUS,31,982.56,0,0,0,0,0,0,0,0,0,0,31,982.56
9,KMB,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,SIB,19,18.77,3,4.01,0,0,0,0,0,0,0,0,22,22.78
11,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Priv,Total,2658,4684.54,420,1314.11,7,11.71,18,101.93,2,0.7,7,959.23,3112,7072.22
1,ESAF,44,97.31,1,1.1,0,0,2,8.52,0,0,0,0,47,106.93
2,JSF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,SSFB,12,50.57,1,0.8,0,0,0,0,0,0,0,0,13,51.37
4,UJJIVAN,2324,1635.35,30,21.05,0,0,25,12.14,0,0,0,0,2379,1668.54
Small FB,Total,2380,1783.23,32,22.95,0,0,27,20.66,0,0,0,0,2439,1826.84
1,MLRB,9569,17864.71,83,127.89,0,0,1,1,0,0,0,0,9653,17993.6
RRB,Total,9569,17864.71,83,127.89,0,0,1,1,0,0,0,0,9653,17993.6
1,JUCB,135,685.34,0,0,0,0,0,0,0,0,0,0,135,685.34
2,MCAB,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,SCUB,717,2200.01,5,1.9,0,0,1,0.5,0,0,0,0,723,2202.41
4,TCUB,55,80.65,4,3.3,0,0,0,0,0,0,0,0,59,83.95
Grand,Total,17431,36528.09,2674,12323.21,59,289.72,259,1966.6,3,1.21,15,1240.91,20441,52349.74
