Sl No.,Bank Name,Annual target,,1st Qtr target,,Applica- tion Re- ceived,Appli- cation Amount,Sanc- tioned Number,Sanc- tioned Amount,Dis- bursed No.,Dis- bursed Amt.,Pending Sanction,Re- turned/ Reject,Send for rectifi- cation
,,No,Amt (In lacs),No,Amt (In lacs),,,,,,,,,
1,Bank of India,0,0,0,0,0,0,0,0,0,0,0,0,0
2,BOB,4,2.4,2,1.99,0,0,0,0,0,0,0,0,0
3,CAN,96,62.85,53,52.74,4,16,2,4,2,4,2,0,0
4,CBI,173,223.5,95,94.53,31,162,22,67.5,11,41.1,9,0,0
5,IDBI,0,0,0,0,0,0,0,0,0,0,0,0,0
6,IND,4,2.4,2,1.99,0,0,0,0,0,0,0,0,0
7,IOB,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Induslnd Bank,0,0,0,0,0,0,0,0,0,0,0,0,0
9,PNB,63,44.1,34,33.83,11,49.5,5,16.5,5,9,6,0,0
10,IPPB,0,0,0,0,0,0,0,0,0,0,0,0,0
11,SBI,2006,2140.2,1104,1098.48,1165,4217.6,610,1377.75,463,986.8,555,10,0
12,UBI,14,9.45,7,6.97,0,0,0,0,0,0,0,0,0
13,UCO,10,11.25,6,5.97,10,57,4,6,4,6,6,0,0
14,UNI,0,0,0,0,0,0,0,0,0,0,0,0,0
15,NESFB,35,22.05,19,18.91,0,0,0,0,0,0,0,0,0
16,ICICI,0,0,0,0,0,0,0,0,0,0,0,0,0
17,ESAF Bank Ltd,0,0,0,0,0,0,0,0,0,0,0,0,0
Public sector,Total,2405,2518.2,1322,1315.39,1221,4502.1,643,1471.75,485,1046.9,578,10,0
1,Axis,0,0,0,0,0,0,0,0,0,0,0,0,0
2,HDFC,1,0.6,1,1,15,35.5,5,13,4,9,10,0,0
3,Bandhan,0,0,0,0,0,0,0,0,0,0,0,0,0
Private sector,Total,1,0.6,1,1,15,35.5,5,13,4,9,10,0,0
1,MLRB,9903,9471.65,5447,5419.77,4113,14771.93,2324,6963,2073,5648.48,1330,459,0
RRB,Total,9903,9471.65,5447,5419.77,4113,14771.93,2324,6963,2073,5648.48,1330,459,0
1,MCAB,3297,3541.65,1813,1803.94,1855,6442.7,816,1530.52,605,1032.32,1017,22,0
Co. Apex Bank,Total,3297,3541.65,1813,1803.94,1855,6442.7,816,1530.52,605,1032.32,1017,22,0
Grand Total,,15606,15532.1,8583,8540.09,7204,25752.23,3788,9978.27,3167,7736.7,2925,491,0
