Bankwise Branch Network Report of Meghalaya as on date 31-12-2021,,,,,,,,,,,,
Sl No.,Bank Name,Branch Rural,Branch Semi-Urban,Branch Urban,Total Branch,ATM Rural,ATM Semi-Urban,ATM Urban,Total ATM,"Out Of Total CSP, Fixed Point CSP","Out Of Total CSP,Other CSP",Total CSP
1,BOB,1,2,5,8,3,3,8,14,0,0,0
2,BOI,0,1,3,4,0,0,0,0,0,0,0
3,BOM,0,0,1,1,0,0,0,0,0,0,0
4,CAN,4,4,6,14,2,4,5,11,0,0,0
5,CBI,0,4,4,8,0,2,3,5,6,0,6
6,IND,2,0,2,4,1,0,1,2,1,6,7
7,IOB,0,1,2,3,0,1,1,2,0,0,0
8,IPPB,1,5,2,8,0,0,0,0,239,0,239
9,PNB,12,7,6,25,8,5,7,20,0,2,2
10,PSB,0,0,1,1,0,0,1,1,0,0,0
11,SBI,75,16,16,107,72,59,171,302,182,28,210
12,UCO,2,3,2,7,0,1,2,3,3,0,3
13,UNI,2,3,4,9,1,3,3,7,6,0,6
Pub,Total,99,46,54,199,87,78,202,367,437,36,473
1,AXIS,1,3,6,10,2,6,8,16,5,0,5
2,BAND,1,2,5,8,1,0,1,2,0,0,0
3,FED,0,0,2,2,0,0,1,1,0,0,0
4,HDFC,8,8,4,20,9,10,10,29,102,13,115
5,ICICI,4,6,3,13,8,4,3,15,0,0,0
6,IDBI,0,1,1,2,0,2,2,4,0,0,0
7,IDFC,0,0,1,1,0,0,0,0,7,0,7
8,INDUS,0,3,1,4,0,1,1,2,0,1,1
9,KMB,0,0,1,1,0,0,1,1,0,0,0
10,NESFB,4,3,1,8,0,0,0,0,0,0,0
11,SIB,0,0,1,1,0,0,1,1,0,0,0
12,UJJ,0,0,1,1,0,0,1,1,0,0,0
13,YES,0,0,1,1,0,0,1,1,0,0,0
Priv,Total,18,26,28,72,20,23,30,73,114,14,128
1,MLRB,70,16,4,90,9,3,1,13,0,201,201
RRB,Total,70,16,4,90,9,3,1,13,0,201,201
1,JUCB,1,0,1,2,0,0,0,0,0,0,0
2,MCAB,0,27,23,50,0,4,10,14,0,0,0
3,SCUB,0,0,5,5,0,0,0,0,0,0,0
4,TCUB,0,0,2,2,0,0,0,0,0,0,0
Grand,Total,188,115,117,420,116,108,243,467,551,251,802
