94,Performance Under NRLM of Meghalaya in the Quarter,131
95,Financial Inclusion Progress in opening of Banking outlet in villages having population < 2000,132-133
96,DETAILS OF DCC MEETING CONDUCTED BY LDM,134
97,Details of Lead District Manager (LDMs) in the District,135
98,BLBCs conducted during the period from April 2025 to March 2026,136
99,RSETI,137
100,Abstract Bankwise Report,138
101,Matrix Scores Individual Banks,139-170
1,BOB,4
2,BOI,0
3,BOM,0
4,CAN,1
5,CBI,95
6,IND,0
7,IOB,3
8,PNB,0
9,PSB,0
10,SBI,133
11,UCO,2
12,UNI,18
Pub,Total,256
1,AXIS,1
2,BAND,0
3,FED,0
4,HDFC,0
5,ICICI,0
6,IDBI,3
7,IDFC,0
8,INDUS,0
9,KMB,0
10,SIB,0
11,YES,0
Priv,Total,4
1,ESAF,0
2,JSF,0
3,SSFB,0
4,UJJIVAN,0
Small FB,Total,0
1,MLRB,158
RRB,Total,158
1,JUCB,0
2,MCAB,11
3,SCUB,0
4,TCUB,0
Grand,Total,429
