Sl No.,Bank Name,Sishu O/S No.,Sishu O/S Amt.,Sishu NPA No.,Sishu NPA Amt.,Kishore O/S No.,Kishore O/S Amt.,Kishore NPA No.,Kishore NPA Amt.,Tarun O/S No.,Tarun O/S Amt.
8,INDUS,0,0,22,82.34,0,0,0,0,22,82.34
9,KMB,0,0,0,0,0,0,0,0,0,0
10,SIB,0,0,0,0,0,0,0,0,0,0
11,YES,0,0,0,0,0,0,0,0,0,0
Priv,Total,3053,1154.92,3278,4325.21,177,1381.21,5,77.87,6513,6939.21
1,ESAF,0,0,0,0,0,0,0,0,0,0
2,JSF,0,0,0,0,0,0,0,0,0,0
3,SSFB,0,0,0,0,0,0,0,0,0,0
4,UJJIVAN,886,371.1,1489,1386.61,0,0,0,0,2375,1757.71
Small FB,Total,886,371.1,1489,1386.61,0,0,0,0,2375,1757.71
1,MLRB,500,232.61,503,1003.93,58,441.56,8,97.5,1069,1775.6
RRB,Total,500,232.61,503,1003.93,58,441.56,8,97.5,1069,1775.6
1,JUCB,0,0,0,0,0,0,0,0,0,0
2,MCAB,0,0,0,0,0,0,0,0,0,0
3,SCUB,0,0,0,0,0,0,0,0,0,0
4,TCUB,0,0,0,0,0,0,0,0,0,0
Grand,Total,5681,3234.19,7474,11633.24,1000,7356.19,21,262.42,14176,22486.04
