1767,122,134,267,32,142,129,157,100,553,12,95,24,PMEGP NPA NO,,
3646.25,153.93,285.03,759.39,43.95,315.36,195.56,222.87,160.78,1321.41,24.09,134.07,29.81,PMEGP NPA AMT,,
14395,1145,1762,2073,621,721,255,1825,244,2881,1596,153,1119,SHG O/S No.,,
24033.9,2429.55,3244.34,2801.01,977.79,884.02,287.96,2728.47,312.05,4823.69,2872.29,213.78,2458.95,SHG O/S Amt.,,
504,34,24,118,8,92,53,97,15,38,6,10,9,SHG NPA NO,,
370.14,19.78,34.01,59,9.64,49,23.95,98.98,14.54,37.87,10.05,5.11,8.21,SHG NPA AMT,,
458,3,31,62,1,10,3,45,3,246,47,5,2,SUI No. O/S,,
7231.44,17.71,649.22,839.02,17.37,242.38,38.25,846.28,32.32,3278.65,1146.78,85.34,38.12,SUI Amt. O/S,,
45,2,4,7,0,1,0,6,0,15,9,1,0,SUI NPA NO,,
1440.77,6.83,110.07,73.71,0,10.43,0,274.94,0,620.87,324.96,18.96,0,SUI NPA AMT,(Rs In Lakhs),District wise POSITION OF NPA UNDER GOVT. SPONSORED SCHEMES report of Meghalaya as on date 30-09-2025
