Sl No.,Bank Name,Branch Rural,Branch Semi-Ur- ban,Branch Urban,Total Branch,ATM Rural,ATM Semi-Ur- ban,ATM Urban,Total ATM,"Out Of Total CSP, Fixed Point CSP","Out Of Total CSP,Other CSP",Total CSP
1,BOB,1,2,5,8,5,3,10,18,0,0,0
2,BOI,0,1,3,4,0,1,1,2,0,0,0
3,BOM,0,0,1,1,0,0,0,0,0,0,0
4,CAN,4,5,6,15,2,4,4,10,0,0,0
5,CBI,1,4,4,9,0,1,2,3,0,2,2
6,IND,1,1,2,4,1,0,1,2,1,0,1
7,IOB,0,1,2,3,0,1,1,2,0,0,0
8,PNB,14,6,6,26,9,3,3,15,8,0,8
9,PSB,1,0,0,1,1,0,0,1,0,0,0
10,SBI,76,16,17,109,75,67,166,308,253,0,253
11,UCO,4,3,0,7,1,2,2,5,0,0,0
12,UNI,2,3,3,8,0,3,4,7,41,0,41
Pub,Total,104,42,49,195,94,85,194,373,303,2,305
1,AXIS,2,5,5,12,3,8,6,17,0,26,26
2,BAND,1,2,5,8,0,0,1,1,0,0,0
3,FED,0,1,2,3,0,1,2,3,0,0,0
4,HDFC,11,11,4,26,14,15,11,40,101,13,114
5,ICICI,8,8,3,19,8,6,5,19,0,0,0
6,IDBI,0,2,1,3,0,3,2,5,0,0,0
7,IDFC,0,0,1,1,0,0,1,1,3,5,8
8,INDUS,0,2,3,5,0,1,2,3,0,0,0
9,KMB,0,0,1,1,0,0,1,1,0,0,0
10,SIB,0,0,1,1,0,0,1,1,0,0,0
11,YES,0,0,1,1,0,0,1,1,0,595,595
Priv,Total,22,31,27,80,25,34,33,92,104,639,743
1,ESAF,0,1,1,2,0,1,0,1,0,0,0
2,JSF,0,0,1,1,0,0,0,0,0,0,0
3,SSFB,7,5,1,13,0,0,0,0,0,0,0
4,UJJIVAN,0,0,1,1,0,0,1,1,0,0,0
Small,Total,7,6,4,17,0,1,1,2,0,0,0
1,APBL,0,0,0,0,0,0,0,0,608,0,608
2,IPPB,1,5,2,8,0,0,0,0,925,0,925
Pay,Total,1,5,2,8,0,0,0,0,1533,0,1533
1,MLRB,69,16,4,89,7,5,1,13,638,0,638
RRB,Total,69,16,4,89,7,5,1,13,638,0,638
1,JUCB,1,0,1,2,0,0,0,0,0,0,0
2,MCAB,0,27,23,50,0,21,17,38,144,0,144
3,SCUB,0,0,5,5,0,0,0,0,0,0,0
4,TCUB,0,0,2,2,0,0,0,0,0,0,0
Grand,Total,204,127,117,448,126,146,246,518,2722,641,3363
