Sl No.,Bank Name,Crop No,Crop Amt,Term Loan No,Term Loan Amt,Agri Infra No,Agri Infra Amt,Ancillary No,Ancil- lary Amt,Tot Agri (PS) NPA No.,Tot Agri (PS) NPA Amt.
1,BOB,59,46.22,6,17.32,0,0,2,648.37,67,711.91
2,BOI,25,28.64,0,0,0,0,7,6.17,32,34.81
3,BOM,0,0,0,0,0,0,0,0,0,0
4,CAN,66,68,34,30.61,1,5.87,10,5.65,111,110.13
5,CBI,90,42.01,90,42.01,0,0,0,0,180,84.02
6,IND,72,30.94,22,8.73,0,0,0,0,94,39.67
7,IOB,0,0,0,0,2,803.58,0,0,2,803.58
8,PNB,292,194.14,24,20.55,0,0,13,10.42,329,225.11
9,PSB,0,0,0,0,0,0,0,0,0,0
10,SBI,22450,12734.32,60,46.49,1,5.33,577,655.87,23088,13442.01
11,UCO,10,30.56,12,11.04,0,0,0,0,22,41.6
12,UNI,25,15.38,10,2.37,0,0,2,0.98,37,18.73
Pub,Total,23089,13190.21,258,179.12,4,814.78,611,1327.46,23962,15511.57
1,AXIS,0,0,91,14.21,0,0,0,0,91,14.21
2,BAND,0,0,177,21.86,0,0,11,4.5,188,26.36
3,FED,11,15.72,0,0,0,0,0,0,11,15.72
4,HDFC,0,0,480,71,0,0,0,0,480,71
5,ICICI,0,0,1,0.82,0,0,0,0,1,0.82
6,IDBI,0,0,1,2.4,0,0,0,0,1,2.4
7,IDFC,0,0,0,0,0,0,0,0,0,0
8,INDUS,0,0,0,0,0,0,0,0,0,0
9,KMB,0,0,0,0,0,0,0,0,0,0
10,SIB,0,0,0,0,0,0,0,0,0,0
11,YES,0,0,0,0,0,0,0,0,0,0
Priv,Total,11,15.72,750,110.29,0,0,11,4.5,772,130.51
1,ESAF,0,0,0,0,0,0,0,0,0,0
2,JSF,0,0,0,0,0,0,0,0,0,0
3,SSFB,1,0.03,0,0,0,0,58,11.56,59,11.59
4,UJJIVAN,0,0,1,0.05,0,0,0,0,1,0.05
Small FB,Total,1,0.03,1,0.05,0,0,58,11.56,60,11.64
1,MLRB,721,485.18,692,394.14,0,0,0,0,1413,879.32
RRB,Total,721,485.18,692,394.14,0,0,0,0,1413,879.32
1,JUCB,0,0,0,0,0,0,0,0,0,0
2,MCAB,8581,3577.5,0,0,13066,3303.17,0,0,21647,6880.67
3,SCUB,0,0,0,0,0,0,0,0,0,0
4,TCUB,0,0,0,0,0,0,0,0,0,0
Grand,Total,32403,17268.64,1701,683.6,13070,4117.95,680,1343.52,47854,23413.71
