Sl No.,District Name,Inactive CSPs,RuPay card active in PMJDY,First time active RuPay card,Aadhaar Authenti- cated SB accounts,RuPay card issued in KCC
1,Eastern West Khasi Hills,17,12335,3802,5513,745
2,East Garo Hills,7,2818,2385,46946,1244
3,East Jaintia Hills,18,17714,9041,9700,31
4,East Khasi Hills,135,77443,93232,187367,5657
5,North Garo Hills,13,9686,8245,53192,495
6,Ri Bhoi,23,22030,6841,29985,6633
7,South Garo Hills,11,1833,1273,29223,37
8,South West Garo Hills,12,4697,3199,73045,929
9,South West Khasi Hills,15,8156,118,10099,359
10,West Garo Hills,51,16903,10523,192939,3274
11,West Jaintia Hills,23,12891,3449,38673,1352
12,West Khasi Hills,24,12587,3802,14793,2287
Grand,Total,349,199093,145910,691475,23043
