Sl No.,Bank Name,Export Credit A/C,Export Credit Amt,Education (PS) A/C,Education (PS) Amt,Housing (PS) A/C,Housing (PS) Amt,Social Infra- structure A/C,Social Infrastruc- ture Amt.,Renewable Energy A/C,Renewable Energy Amt,Informal Credit A/C,Informal Cred- it Amt,Total Other PS Disb No.,Total Other PS Disb Amt.,Loans to weak- er No,Loans to weaker Amt
1,BOB,0,0,53,66.07,0,0,0,0,0,0,0,0,53,66.07,417,2201.33
2,BOI,0,0,4,7.53,0,0,0,0,0,0,0,0,4,7.53,1,1.75
3,BOM,0,0,3,15.47,0,0,0,0,0,0,0,0,3,15.47,0,0
4,CAN,0,0,43,50.69,8,43,0,0,1,1.25,0,0,52,94.94,887,3788.42
5,CBI,0,0,31,80.82,8,105.87,0,0,0,0,0,0,39,186.69,80,257.42
6,IND,0,0,3,7.68,0,0,0,0,0,0,0,0,3,7.68,8,384.12
7,IOB,0,0,4,17.72,2,18,0,0,0,0,0,0,6,35.72,0,0
8,PNB,0,0,35,105.24,10,89.68,0,0,0,0,0,0,45,194.92,654,3538.73
9,PSB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4.52
10,SBI,0,0,830,1295.37,167,1435,2,1.81,332,998.18,0,0,1331,3730.36,19600,19271.83
11,UCO,0,0,8,7.61,3,13.62,0,0,0,0,0,0,11,21.23,196,1767.84
12,UNI,0,0,67,123.63,0,0,1,1,0,0,27,0.66,95,125.29,553,2054.93
Pub,Total,0,0,1081,1777.83,198,1705.17,3,2.81,333,999.43,27,0.66,1642,4485.9,22401,33270.89
1,AXIS,0,0,0,0,0,0,0,0,0,0,495,209.04,495,209.04,2388,1033.3
2,BAND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1094,693.1
3,FED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,47.72
4,HDFC,0,0,1,1.57,77,73.74,0,0,0,0,203,101.47,281,176.78,1245,4308.64
5,ICICI,0,0,0,0,1,14.74,0,0,0,0,0,0,1,14.74,279,1069.4
6,IDBI,0,0,3,6.3,0,0,0,0,0,0,0,0,3,6.3,32,94.2
7,IDFC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,INDUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,775.05
9,KMB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,SIB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Priv,Total,0,0,4,7.87,78,88.48,0,0,0,0,698,310.51,780,406.86,5069,8021.41
1,ESAF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,JSF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,SSFB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,UJJIVAN,0,0,0,0,110,148.2,0,0,0,0,0,0,110,148.2,70,61.8
Small FB,Total,0,0,0,0,110,148.2,0,0,0,0,0,0,110,148.2,70,61.8
1,MLRB,0,0,71,87.71,132,1334.91,0,0,7,8.4,0,0,210,1431.02,11400,15099.44
RRB,Total,0,0,71,87.71,132,1334.91,0,0,7,8.4,0,0,210,1431.02,11400,15099.44
1,JUCB,0,0,0,0,33,738,0,0,0,0,0,0,33,738,801,3978.61
2,MCAB,0,0,23,69.81,99,1005.6,4,36.7,0,0,0,0,126,1112.11,0,0
3,SCUB,0,0,6,4.17,27,202,0,0,0,0,0,0,33,206.17,717,2200.01
4,TCUB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grand,Total,0,0,1185,1947.39,677,5222.36,7,39.51,340,1007.83,725,311.17,2934,8528.26,40458,62632.16
