Sl No.,Bank Name,Hous- ing Loan (PS) O/S No,Housing Loan (PS) O/S Amount,Housing Loan (NPS) O/S No,Housing Loan (NPS) O/S Amount,Rural Hous- ing Loan O/S No,Rural Housing Loan O/S Amount,Housing Loan Eligible under PMAY O/S No,Housing Loan Eligi- ble under PMAY O/S Amount,Current Year Disbursed under PMAY No,Current Year Dis- bursed under PMAY Amount,PMAY O/S No,PMAY O/S Amount
1,BOB,105,1179.71,298,8631.83,0,0,1,19.3,0,0,1,19.3
2,BOI,7,53.41,2,74.51,0,0,0,0,0,0,0,0
3,BOM,11,214,9,313.4,0,0,0,0,0,0,0,0
4,CAN,70,770.06,100,3187.67,34,506.39,13,167.95,0,0,13,167.95
5,CBI,35,465.54,2,81.88,0,0,0,0,0,0,0,0
6,IND,15,104.96,49,2183.95,9,50.63,0,0,0,0,2,24.24
7,IOB,64,902.68,34,1021.2,0,0,5,106.4,0,0,5,106.4
8,PNB,217,2832.41,165,4813.81,142,1988.77,44,168.94,0,0,50,278.58
9,PSB,0,0,0,0,0,0,0,0,0,0,0,0
10,SBI,2379,26020.7,5810,98216.95,3292,49807.06,111,1490.68,1,15,111,1490.68
11,UCO,30,296.43,36,1271.76,0,0,0,0,0,0,0,0
12,UNI,13,99.56,24,1107.37,0,0,0,0,0,0,0,0
Pub- lic,Total,2946,32939.46,6529,120904.33,3477,52352.85,174,1953.27,1,15,182,2087.15
1,AXIS,15,216.57,49,2211.45,0,0,0,0,0,0,0,0
2,BAND,0,0,0,0,0,0,0,0,0,0,0,0
3,FED,3,18.03,6,367.15,0,0,0,0,0,0,0,0
4,HDFC,99,94.79,9,81.93,7,7.09,0,0,0,0,0,0
5,ICICI,23,277.44,122,3943.03,0,0,0,0,0,0,0,0
6,IDBI,23,287.4,31,1065,0,0,0,0,0,0,0,0
7,IDFC,0,0,0,0,0,0,0,0,0,0,0,0
8,INDUS,0,0,0,0,0,0,0,0,0,0,0,0
9,KMB,0,0,0,0,0,0,0,0,0,0,0,0
10,SIB,0,0,2,39.27,0,0,0,0,0,0,0,0
11,YES,2460,0,0,0,0,0,0,0,0,0,0,0
Pri- vate,Total,2623,894.23,219,7707.83,7,7.09,0,0,0,0,0,0
1,ESAF,0,0,0,0,0,0,0,0,0,0,0,0
2,JSF,0,0,0,0,0,0,0,0,0,0,0,0
3,SSFB,0,0,0,0,0,0,0,0,0,0,0,0
4,UJJIVAN,277,286.07,0,0,0,0,0,0,0,0,0,0
Small FB,Total,277,286.07,0,0,0,0,0,0,0,0,0,0
1,MLRB,1551,19662.3,330,14116.54,478,5072.22,12,38.42,0,0,12,38.42
RRB,Total,1551,19662.3,330,14116.54,478,5072.22,12,38.42,0,0,12,38.42
1,JUCB,148,2017.13,23,917.68,10,139.49,0,0,0,0,0,0
2,MCAB,619,7231.14,0,0,0,0,0,0,0,0,7,54.14
3,SCUB,192,2222.13,76,2164.91,0,0,0,0,0,0,0,0
4,TCUB,0,0,0,0,0,0,0,0,0,0,0,0
Grand Total,,8356,65252.46,7177,145811.29,3972,57571.65,186,1991.69,1,15,201,2179.71
