Sl No.,Bank Name,Micro TL A/C,Micro TL Amt,Micro WC A/C,Micro WC Amt,Small TL A/C,Small TL Amt,Small WC A/C,Small WC Amt,Medium TL A/C,Medium TL Amt,Medium WC A/C,Medium WC Amt,KVIC TL A/C,KVIC TL Amt,KVIC WC A/C,KVIC WC Amt,Others under MSMEs A/C,Others under MSMEs Amt,CLF TL A/C,CLF TL Amt,CLF WC A/C,CLF WC Amt,Tot MSME (PS) Disb No.,Tot MSME (PS) Disb Amt
1,BOB,76,1252.37,31,1232.44,0,0,0,0,0,0,0,0,5,9.87,0,0,0,0,0,0,0,0,112,2494.68
2,BOI,11,34.62,3,23.78,1,13.94,0,0,0,0,0,0,0,0,0,0,2,3.99,0,0,0,0,17,76.33
3,BOM,0,0,3,34.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,34.12
4,CAN,261,2262.21,85,754.08,4,551,0,0,1,0.9,0,0,0,0,0,0,0,0,0,0,0,0,351,3568.19
5,CBI,104,1179.63,62,707.79,5,709.61,4,473.07,0,0,0,0,15,119.82,8,47.93,0,0,0,0,0,0,198,3237.85
6,IND,99,2336.76,0,0,13,1879.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,4216.26
7,IOB,12,82.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,82.68
8,PNB,119,1232.9,175,1849.33,0,0,8,493,0,0,2,1540,0,0,0,0,0,0,0,0,0,0,304,5115.23
9,PSB,0,0,4,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5.5
10,SBI,3836,40998.21,1267,13666.06,401,19489.05,131,6496.36,24,9456.52,6,3152.17,0,0,0,0,0,0,0,0,0,0,5665,93258.37
11,UCO,0,0,124,805.41,0,0,7,638.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,1443.99
12,UNI,78,332.36,256,2469.4,0,0,14,3074.58,0,0,2,2416,0,0,0,0,0,0,0,0,0,0,350,8292.34
Pub,Total,4596,49711.74,2010,21547.91,424,22643.1,164,11175.59,25,9457.42,10,7108.17,20,129.69,8,47.93,2,3.99,0,0,0,0,7259,121825.54
1,AXIS,9,1593.93,0,0,5,183.23,0,0,2,180.66,0,0,0,0,0,0,0,0,0,0,0,0,16,1957.82
2,BAND,168,176.65,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,168,176.65
3,FED,22,1851.51,0,0,12,1333.29,0,0,2,2450,0,0,0,0,0,0,0,0,0,0,0,0,36,5634.8
4,HDFC,90,1464.93,226,5765.55,8,1174.99,55,5253.98,2,19.31,5,1131.44,0,0,0,0,0,0,0,0,0,0,386,14810.2
5,ICICI,0,0,58,2985.52,0,0,31,5604.89,0,0,1,192.22,0,0,0,0,0,0,0,0,0,0,90,8782.63
6,IDBI,59,307,0,0,4,541.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,848.1
7,IDFC,7,119.29,0,0,54,144.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,263.72
8,INDUS,28,947.56,0,0,8,150.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,1098.06
9,KMB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,SIB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,YES,0,0,1,18,0,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,118
Priv,Total,383,6460.87,285,8769.07,91,3527.54,87,10958.87,6,2649.97,6,1323.66,0,0,0,0,0,0,0,0,0,0,858,33689.98
1,ESAF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,JSF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,SSFB,32,85.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,85.48
4,UJJIVAN,718,555.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,718,555.08
Small FB,Total,750,640.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,750,640.56
1,MLRB,144,947.06,1041,2018.64,0,0,0,0,0,0,0,0,110,675.63,48,52.28,0,0,0,0,0,0,1343,3693.61
RRB,Total,144,947.06,1041,2018.64,0,0,0,0,0,0,0,0,110,675.63,48,52.28,0,0,0,0,0,0,1343,3693.61
1,JUCB,142,287.7,0,0,45,362.1,3,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,859.8
2,MCAB,1175,2161.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1175,2161.8
3,SCUB,83,208.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,509,248.88,0,0,0,0,592,457.38
4,TCUB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grand,Total,7273,60418.23,3336,32335.62,560,26532.74,254,22344.46,31,12107.39,16,8431.83,130,805.32,56,100.21,511,252.87,0,0,0,0,12167,163328.67
