Sl No.,Bank Name,Micro No,Micro Amt,Small No,Small Amt,Me- dium No,Medium Amt,KVIC No,KVIC Amt,Other MSME No,Other MSME Amt,Tot MSME (PS) NPA No.,Tot MSME (PS) NPA Amt.
1,BOB,247,2496.93,0,0,0,0,3,8.31,0,0,250,2505.24
2,BOI,263,998.79,0,0,0,0,0,0,0,0,263,998.79
3,BOM,34,862,0,0,0,0,0,0,0,0,34,862
4,CAN,339,818.64,27,151.57,1,0.92,0,0,0,0,367,971.13
5,CBI,178,172.44,0,0,0,0,4,3.82,4,3.82,186,180.08
6,IND,28,58.91,0,0,0,0,17,1.39,0,0,45,60.3
7,IOB,33,225.49,0,0,0,0,0,0,0,0,33,225.49
8,PNB,414,638.63,53,130.98,0,0,0,0,0,0,467,769.61
9,PSB,20,20.95,15,17.9,37,18.7,0,0,0,0,72,57.55
10,SBI,1711,4078.37,10,40.37,0,0,0,0,12,24.18,1733,4142.92
11,UCO,159,620.35,13,349.32,0,0,1,3.16,0,0,173,972.83
12,UNI,97,239.66,0,0,0,0,0,0,0,0,97,239.66
Pub,Total,3523,11231.16,118,690.14,38,19.62,25,16.68,16,28,3720,11985.6
1,AXIS,5,32.62,0,0,0,0,0,0,0,0,5,32.62
2,BAND,37,12.66,0,0,0,0,0,0,0,0,37,12.66
3,FED,0,0,0,0,0,0,0,0,0,0,0,0
4,HDFC,30,139.41,4,311.04,1,72.97,0,0,0,0,35,523.42
5,ICICI,2,22.42,0,0,0,0,0,0,0,0,2,22.42
6,IDBI,13,62.85,0,0,0,0,0,0,0,0,13,62.85
7,IDFC,0,0,0,0,0,0,0,0,0,0,0,0
8,INDUS,0,0,0,0,0,0,0,0,0,0,0,0
9,KMB,0,0,0,0,0,0,0,0,0,0,0,0
10,SIB,2,4.3,0,0,0,0,0,0,0,0,2,4.3
11,YES,0,0,0,0,0,0,0,0,0,0,0,0
Priv,Total,89,274.26,4,311.04,1,72.97,0,0,0,0,94,658.27
1,ESAF,0,0,0,0,0,0,0,0,0,0,0,0
2,JSF,0,0,0,0,0,0,0,0,0,0,0,0
3,SSFB,121,66.19,0,0,0,0,0,0,0,0,121,66.19
4,UJJIVAN,13,1.79,0,0,0,0,0,0,0,0,13,1.79
Small FB,Total,134,67.98,0,0,0,0,0,0,0,0,134,67.98
1,MLRB,1220,2150.02,0,0,0,0,227,461.45,0,0,1447,2611.47
RRB,Total,1220,2150.02,0,0,0,0,227,461.45,0,0,1447,2611.47
1,JUCB,131,515.41,3,66.18,0,0,0,0,0,0,134,581.59
2,MCAB,5811,5016.71,0,0,0,0,0,0,0,0,5811,5016.71
3,SCUB,13,72.08,0,0,0,0,0,0,0,0,13,72.08
4,TCUB,0,0,0,0,0,0,0,0,0,0,0,0
Grand,Total,10921,19327.62,125,1067.36,39,92.59,252,478.13,16,28,11353,20993.7
