Sl No.,Bank Name,CHRISTIANS No.,CHRISTIANS Amt,MUSLIMS No,MUSLIMS Amt.,BUDDHISTS No,BUDDHISTS Amt.,SIKHS No.,SIKHS Amt.,ZORASTRIANS No.,ZORASTRIANS Amt.,JAINS No.,JAINS Amt.,Tot Loan to Minority O/S No.,Tot Loan to Minority O/S Amt.
1,BOB,2125,46460.64,12,52,14,66.96,96,3025,0,0,2,6.88,2249,49611.48
2,BOI,845,3506.67,143,576.3,0,0,88,166.6,0,0,1,0.8,1077,4250.37
3,BOM,3,6.45,1,0.72,0,0,0,0,0,0,0,0,4,7.17
4,CAN,3336,14618.54,166,1024.68,34,135.41,151,222.19,2,1.08,4,31.24,3693,16033.14
5,CBI,1,0,1120,5377.46,11,37.15,22,210.4,0,0,2,41.89,1156,5666.9
6,IND,0,0,10,13.18,0,0,10,39.44,0,0,0,0,20,52.62
7,IOB,92,635.3,1,0.92,0,0,0,0,0,0,0,0,93,636.22
8,PNB,3648,15764.89,109,1112.76,7,10.61,17,52.72,0,0,2,9.05,3783,16950.03
9,PSB,33,31.7,11,13.08,1,4,7,10.31,0,0,0,0,52,59.09
10,SBI,0,0,6964,31866.42,153,904.32,283,986.99,0,0,22,510.55,7422,34268.28
11,UCO,617,1016.14,27,73.61,1,1.34,12,26.36,0,0,3,11.61,660,1129.06
12,UNI,1972,8646.46,33,111.6,0,0,14,65.66,0,0,0,0,2019,8823.72
Pub,Total,12672,90686.79,8597,40222.73,221,1159.79,700,4805.67,2,1.08,36,612.02,22228,137488.08
1,AXIS,0,0,270,694.22,9,21.4,20,58.13,2,0.7,1,2.37,302,776.82
2,BAND,7199,3834.35,312,227.55,16,9.82,22,16,0,0,3,0.7,7552,4088.42
3,FED,494,2918.38,47,180.74,0,0,7,29.43,0,0,0,0,548,3128.55
4,HDFC,0,0,255,1340.64,5,16.11,2,6.91,0,0,4,299.32,266,1662.98
5,ICICI,0,0,477,1336.2,7,230.48,6,29.76,0,0,7,250.3,497,1846.74
6,IDBI,0,0,5,21.3,2,7.2,0,0,0,0,0,0,7,28.5
7,IDFC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,INDUS,283,4335.7,0,0,0,0,0,0,0,0,0,0,283,4335.7
9,KMB,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,SIB,10,38.21,6,9.52,0,0,1,2.75,0,0,0,0,17,50.48
11,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Priv,Total,7986,11126.64,1372,3810.17,39,285.01,58,142.98,2,0.7,15,552.69,9472,15918.19
1,ESAF,52,101.27,3,5.94,0,0,2,8.76,0,0,0,0,57,115.97
2,JSF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,SSFB,270,568.28,64,42.49,0,0,0,0,13,0,0,0,347,610.77
4,UJJIVAN,6928,3023.65,92,36.77,20,5.79,79,26.46,0,0,0,0,7119,3092.67
Small FB,Total,7250,3693.2,159,85.2,20,5.79,81,35.22,13,0,0,0,7523,3819.41
1,MLRB,56608,114482.38,337,552.33,3,8.79,15,50.16,0,0,0,0,56963,115093.66
RRB,Total,56608,114482.38,337,552.33,3,8.79,15,50.16,0,0,0,0,56963,115093.66
1,JUCB,1230,7008.85,0,0,0,0,0,0,0,0,0,0,1230,7008.85
2,MCAB,0,0,44,93.54,0,0,0,0,0,0,0,0,44,93.54
3,SCUB,3248,6681.6,20,7.4,0,0,39,13.24,0,0,0,0,3307,6702.24
4,TCUB,314,439.28,10,17.06,0,0,0,0,0,0,0,0,324,456.34
Grand,Total,89308,234118.74,10539,44788.43,283,1459.38,893,5047.27,17,1.78,51,1164.71,101091,286580.31
