Sl No.,Bank Name,Micro No.,Micro Amt.,Small No.,Small Amt.,Medium No.,Medium Amt.,Other MSME No.,Other MSME Amt.,MSME Total O/S No.,MSME Total O/S Amount
1,BOB,1079,11930.6,25,3493.45,0,0,0,0,1104,15424.05
2,BOI,1226,4056.3,3,168.87,5,10.62,2,3.99,1236,4239.78
3,BOM,145,1227,0,0,0,0,0,0,145,1227
4,CAN,1846,8652.23,58,1341.19,2,1.81,3,3.48,1909,9998.71
5,CBI,598,3877.04,10,972.42,0,0,29,178.85,637,5028.31
6,IND,165,2821.31,20,1523.14,0,0,0,0,185,4344.45
7,IOB,515,4410.98,0,0,0,0,0,0,515,4410.98
8,PNB,1592,7018.37,78,691.9,5,2043.88,0,0,1675,9754.15
9,PSB,132,219.83,14,18.25,1,4.52,0,0,147,242.6
10,SBI,11490,230675.25,304,37427.12,39,14573.63,0,0,11833,282676
11,UCO,546,2365.11,39,1416.58,0,0,1,3.16,586,3784.85
12,UNI,1068,4832.92,19,2953.91,6,2439.01,0,0,1093,10225.84
Pub,Total,20402,282086.94,570,50006.83,58,19073.47,35,189.48,21065,351356.72
1,AXIS,172,2431.49,37,877.73,2,200.33,0,0,211,3509.55
2,BAND,431,276.99,0,0,0,0,0,0,431,276.99
3,FED,23,3019.61,22,3753.43,8,4458.91,0,0,53,11231.95
4,HDFC,1267,15776.65,174,13767.84,49,1931.99,0,0,1490,31476.48
5,ICICI,124,3877.63,54,4190.01,3,189.95,0,0,181,8257.59
6,IDBI,107,713,6,1153.9,0,0,1,2.7,114,1869.6
7,IDFC,7,82.12,54,143.34,0,0,0,0,61,225.46
8,INDUS,305,4640.98,23,376.12,2,57.77,0,0,330,5074.87
9,KMB,0,0,0,0,0,0,0,0,0,0
10,SIB,7,107.19,0,0,0,0,0,0,7,107.19
11,YES,2,58.03,1,96.94,0,0,0,0,3,154.97
Priv,Total,2445,30983.69,371,24359.31,64,6838.95,1,2.7,2881,62184.65
1,ESAF,0,0,0,0,0,0,0,0,0,0
2,JSF,0,0,0,0,0,0,0,0,0,0
3,SSFB,994,1067.1,0,0,0,0,0,0,994,1067.1
4,UJJIVAN,3120,1280.81,0,0,0,0,0,0,3120,1280.81
Small FB,Total,4114,2347.91,0,0,0,0,0,0,4114,2347.91
1,MLRB,15111,37120.75,6,1644.03,0,0,0,0,15117,38764.78
RRB,Total,15111,37120.75,6,1644.03,0,0,0,0,15117,38764.78
1,JUCB,599,1695.58,289,5475.18,0,0,0,0,888,7170.76
2,MCAB,8982,9808.82,0,0,0,0,0,0,8982,9808.82
3,SCUB,304,1157.24,0,0,0,0,2856,812.12,3160,1969.36
4,TCUB,0,0,277,653.36,0,0,0,0,277,653.36
Banks,Total,51957,365200.93,1513,82138.71,122,25912.42,2892,1004.3,56484,474256.36
1,NEDFI,0,0,0,0,0,0,0,21756.73,0,21756.73
Grand,Total,51957,365200.93,1513,82138.71,122,25912.42,2892,22761.03,56484,496013.09
