65.82,46.77,42.34,57.29,19.53,49.17,50.88,58.74,49.56,78.93,64.15,46.26,38.2,MSME Amount Achv% (PS),,
15732,640,865,7433,856,407,91,1257,247,2893,465,411,167,Target Other No. PS,,
45051.69,1010,3596,4740,1429.75,1556,1211,6248.94,873.5,19399,2819.75,1468.5,699.25,get Other PS Amount Tar-,,
2934,80,154,1021,33,25,5,412,21,999,29,107,48,Other Achieved PS No.,,
8528.26,249.53,1167.81,1217.72,59.17,81.07,6.9,1841.14,84.03,3362.71,87.34,127.63,243.21,Achieved Other PS Amount,,
18.93,24.71,32.48,25.69,4.14,5.21,0.57,29.46,9.62,17.33,3.1,8.69,34.78,Achv% Other PS Amount,,
208815,7332,12988,61569,6260,6266,4140,23906,12079,47361,2730,18140,6044,Total Target No. (PS),,
405829.55,8315,25751.55,52299,8113.95,11988,8199,100005.9,9220.8,148106,13965.9,13921.7,5942.75,Total (PS) Amount Target,,
48227,1952,3508,6933,1125,1979,1202,10645,2647,12605,1526,2486,1619,Total Achieved (PS) No.,,
203581.09,2834.58,9547.07,18748.19,1359.82,2768.71,1090.34,53171.21,2993.31,98388.13,6662.91,3635.41,2381.41,Achieved Total (PS) Amount,,
50.16,34.09,37.07,35.85,16.76,23.1,13.3,53.17,32.46,66.43,47.71,26.11,40.07,Achv% Total(PS) Amount,(Rs In Lakhs),Districtwise ACP (PS) Performance vis-a-vis Target Report for Meghalaya during the FY 2025-2026 upto 30-06-2025
