Sl No.,Bank Name,No. of KCC issued during quarter (Includ- ing renewal),KCC Disbursed Amount during quarter,Total O/S KCC No.,Total O/S KCC Amount.,Number of rupay card Issued,KCC Card ac- tivated,No. of KCC for animal husbandary issued during quarter (Including renewal),KCC for animal husbandary Amount dis- bursed during quarter,AH Total no. of KCC,AH Out- standing amount.,AH Number of rupay card Issued,AH Card activated,No. of KCC for Fishries issued during quar- ter (including renewal),KCC for Fishery Amount dis- bursed during quarter,Fishery Total no. of KCC,Fishery Out- standing amount.,Fishery Number of rupay card Issued,Fishery Card activated
1,BOB,233,258.39,670,642.16,0,0,16,27.5,78,123,0,0,0,0,0,0,0,0
2,BOI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,BOM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,CAN,98,116.98,743,617.53,268,268,0,0,1,0.99,0,0,1,1.52,1,1.52,0,0
5,CBI,5,6.73,243,210.48,146,116,23,20.03,26,21.01,13,7,0,0,0,0,0,0
6,IND,0,0,73,31.49,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7,IOB,2,2.6,14,17.28,12,12,0,0,0,0,0,0,0,0,0,0,0,0
8,PNB,53,28.64,1640,1000.32,1637,1637,2,0.48,5,12.55,0,1,0,0,0,0,0,0
9,PSB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,SBI,6223,12263.92,51423,37371.76,24945,14390,1,1.3,64,36.3,2,2,19,11.58,50,98.51,0,0
11,UCO,0,0,11,4.08,0,0,0,0,15,3.59,0,0,0,0,0,0,0,0
12,UNI,87,56.99,282,234.68,38,17,0,0,0,0,0,0,0,0,0,0,0,0
Public,Total,6701,12734.25,55099,40129.78,27047,16440,42,49.31,189,197.44,15,10,20,13.1,51,100.03,0,0
1,AXIS,0,0,1,1.01,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,BAND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,FED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,HDFC,477,286.52,5896,1598.21,4883,55,0,3.53,1,4.6,1,0,0,0,0,0,0,0
5,ICICI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,IDBI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,IDFC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,INDUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,KMB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,SIB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Private,Total,477,286.52,5897,1599.22,4884,55,0,3.53,1,4.6,1,0,0,0,0,0,0,0
1,ESAF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,JSF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,SSFB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,UJJIVAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Small FB,Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,MLRB,4719,4134.91,48045,30729.55,5169,1070,4,3.97,331,171.48,0,0,0,0,67,25.13,0,0
RRB,Total,4719,4134.91,48045,30729.55,5169,1070,4,3.97,331,171.48,0,0,0,0,67,25.13,0,0
1,JUCB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,MCAB,343,356.95,10958,5446.54,0,0,97,103.49,681,578.84,0,0,2,0.82,126,37.8,0,0
3,SCUB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,TCUB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grand,Total,12240,17512.63,119999,77905.09,37100,17565,143,160.3,1202,952.36,16,10,22,13.92,244,162.96,0,0
