Sl No.,BankName,Total Agri (PS) O/S No.,Total Agri (PS) O/S Amt.,Tot Agri (PS) NPA No.,Tot Agri (PS) NPA Amt.,Agri NPA Amt %,Total MSME (PS) O/S No.,Total MSME (PS) O/S Amt.,Tot MSME (PS) NPA No.,Tot MSME (PS) NPA Amt.
1,BOB,757,1661.61,67,711.91,42.84,1104,15424.05,250,2505.24
2,BOI,309,605.58,32,34.81,5.75,1236,4239.78,263,998.79
3,BOM,5,74.41,0,0,0,145,1227,34,862
4,CAN,1503,1445.75,111,110.13,7.62,1909,9998.71,367,971.13
5,CBI,764,1331.66,180,84.02,6.31,637,5028.31,186,180.08
6,IND,98,636.19,94,39.67,6.24,185,4344.45,45,60.3
7,IOB,29,871.94,2,803.58,92.16,515,4410.98,33,225.49
8,PNB,1000,4838.02,329,225.11,4.65,1675,9754.15,467,769.61
9,PSB,0,0,0,0,,147,242.6,72,57.55
10,SBI,53040,44122.46,23088,13442.01,30.47,11833,282676,1733,4142.92
11,UCO,54,37.44,22,41.6,111.11,586,3784.85,173,972.83
12,UNI,517,1501.44,37,18.73,1.25,1093,10225.84,97,239.66
Pub,Total,58076,57126.5,23962,15511.57,27.15,21065,351356.72,3720,11985.6
1,AXIS,7087,1735.55,91,14.21,0.82,211,3509.55,5,32.62
2,BAND,1085,459.41,188,26.36,5.74,431,276.99,37,12.66
3,FED,48,252.35,11,15.72,6.23,53,11231.95,0,0
4,HDFC,5899,1766.92,480,71,4.02,1490,31476.48,35,523.42
5,ICICI,466,726.78,1,0.82,0.11,181,8257.59,2,22.42
6,IDBI,35,103.6,1,2.4,2.32,114,1869.6,13,62.85
7,IDFC,0,0,0,0,,61,225.46,0,0
8,INDUS,0,0,0,0,,330,5074.87,0,0
9,KMB,0,0,0,0,,0,0,0,0
10,SIB,19,69.95,0,0,0,7,107.19,2,4.3
11,YES,0,0,0,0,,3,154.97,0,0
Priv,Total,14639,5114.56,772,130.51,2.55,2881,62184.65,94,658.27
1,ESAF,2,8.64,0,0,0,0,0,0,0
2,JSF,0,0,0,0,,0,0,0,0
3,SSFB,494,70.95,59,11.59,16.34,994,1067.1,121,66.19
4,UJJIVAN,44,34.1,1,0.05,0.15,3120,1280.81,13,1.79
Small FB,Total,540,113.69,60,11.64,10.24,4114,2347.91,134,67.98
1,MLRB,55778,43153.25,1413,879.32,2.04,15117,38764.78,1447,2611.47
RRB,Total,55778,43153.25,1413,879.32,2.04,15117,38764.78,1447,2611.47
1,JUCB,0,0,0,0,,888,7170.76,134,581.59
2,MCAB,27254,158839.56,21647,6880.67,4.33,8982,9808.82,5811,5016.71
3,SCUB,6,15.98,0,0,0,3160,1969.36,13,72.08
4,TCUB,0,0,0,0,,277,653.36,0,0
Co-op,Total,27260,158855.54,21647,6880.67,4.33,13307,19602.3,5958,5670.38
Banks,Total,156293,264363.54,47854,23413.71,8.86,56484,474256.36,11353,20993.7
1,NEDFI,0,0,0,0,0,0,21756.73,0,0
1,RIDF,0,103337.88,0,0,0,0,0,0,0
Grand,Total,156293,367701.42,47854,23413.71,6.37,56484,496013.09,11353,20993.7
16.24,260,1707.41,10,44.61,2.61,2121,18793.07,327,3261.76,17.36
23.56,36,130.64,1,4.77,3.65,1581,4976,296,1038.37,20.87
70.25,30,546.87,0,0,0,180,1848.28,34,862,46.64
9.71,220,1085.08,14,28.91,2.66,3632,12529.54,492,1110.17,8.86
3.58,194,1902.59,1,0.58,0.03,1595,8262.56,367,264.68,3.2
1.39,26,187.23,0,0,0,309,5167.87,139,99.97,1.93
5.11,84,959.34,2,25.39,2.65,628,6242.26,37,1054.46,16.89
7.89,493,4970.46,20,49.57,1,3168,19562.63,816,1044.29,5.34
23.72,0,0,0,0,,147,242.6,72,57.55,23.72
1.47,5128,35665.33,37,104.36,0.29,70001,362463.79,24858,17689.29,4.88
25.7,286,824.29,5,12.17,1.48,926,4646.58,200,1026.6,22.09
2.34,151,717.71,8,24.49,3.41,1761,12444.99,142,282.88,2.27
3.41,6908,48696.95,98,294.85,0.61,86049,457180.17,27780,27792.02,6.08
0.93,529,484.92,0,0,0,7827,5730.02,96,46.83,0.82
4.57,2480,492.9,19,6.57,1.33,3996,1229.3,244,45.59,3.71
0,7,88.35,0,0,0,108,11572.65,11,15.72,0.14
1.66,1240,262.04,242,29.99,11.44,8629,33505.44,757,624.41,1.86
0.27,25,283.92,1,4.5,1.58,672,9268.29,4,27.74,0.3
3.36,30,316.93,1,8.2,2.59,179,2290.13,15,73.45,3.21
0,0,0,0,0,,61,225.46,0,0,0
0,0,0,0,0,,330,5074.87,0,0,0
,0,0,0,0,,0,0,0,0,
4.01,0,0,0,0,,26,177.14,2,4.3,2.43
0,0,0,0,0,,3,154.97,0,0,0
1.06,4311,1929.06,263,49.26,2.55,21831,69228.27,1129,838.04,1.21
,0,0,0,0,,2,8.64,0,0,0
,0,0,0,0,,0,0,0,0,
6.2,0,0,0,0,,1488,1138.05,180,77.78,6.83
0.14,4975,1986.02,31,2.75,0.14,8139,3300.93,45,4.59,0.14
2.9,4975,1986.02,31,2.75,0.14,9629,4447.62,225,82.37,1.85
6.74,3272,22936.6,1322,2382.05,10.39,74167,104854.63,4182,5872.84,5.6
6.74,3272,22936.6,1322,2382.05,10.39,74167,104854.63,4182,5872.84,5.6
8.11,202,2283.03,11,67.63,2.96,1090,9453.79,145,649.22,6.87
51.14,829,7867.76,294,913.58,11.61,37065,176516.14,27752,12810.96,7.26
3.66,410,5230.5,707,215.06,4.11,3576,7215.84,720,287.14,3.98
0,248,453.84,248,453.84,100,525,1107.2,248,453.84,40.99
28.93,1689,15835.13,1260,1650.11,10.42,42256,194292.97,28865,14201.16,7.31
4.43,21155,91383.76,2974,4379.02,4.79,233932,830003.66,62181,48786.43,5.88
0,0,0,0,0,0,0,21756.73,0,0,0
0,0,0,0,0,0,0,103337.88,0,0,0
4.23,21155,91383.76,2974,4379.02,4.79,233932,955098.27,62181,48786.43,5.11
1,BOB,59,46.22,6,17.32,0,0,2,648.37,247
2,BOI,25,28.64,0,0,0,0,7,6.17,263
3,BOM,0,0,0,0,0,0,0,0,34
4,CAN,66,68,34,30.61,1,5.87,10,5.65,339
5,CBI,90,42.01,90,42.01,0,0,0,0,178
6,IND,72,30.94,22,8.73,0,0,0,0,28
