Sl No.,Bank Name,Inactive CSPs,RuPay card active in PMJDY,First time active RuPay card,Aadhaar Authenticat- ed SB accounts,RuPay card issued in KCC
1,BOB,0,621,530,12272,231
2,BOI,0,9006,30,5883,45
3,BOM,0,200,200,180,0
4,CAN,0,4622,1289,2145,267
5,CBI,7,4948,0,47406,9
6,IND,0,321,569,3433,1
7,IOB,0,3200,36,9230,15
8,PNB,0,75598,105575,8940,1470
9,PSB,0,2085,0,4334,0
10,SBI,14,24340,24340,485054,10936
11,UCO,0,546,0,18511,0
12,UNI,0,4626,0,40803,16
Public,Total,21,130113,132569,638191,12990
1,AXIS,0,58,0,1541,1
2,BAND,0,0,0,0,0
3,FED,0,98,0,4221,0
4,HDFC,62,4570,4570,9334,4883
5,ICICI,0,78,91,10181,0
6,IDBI,0,0,0,539,0
7,IDFC,6,2,602,4123,0
8,INDUS,0,27,0,1978,0
9,KMB,0,0,0,298,0
10,SIB,0,120,3,0,0
11,YES,75,21,0,1199,0
Private,Total,143,4974,5266,33414,4884
1,ESAF,0,0,0,2702,0
2,JSF,0,0,0,287,0
3,SSFB,0,0,0,0,0
4,UJJIVAN,0,0,0,6890,0
Small FB,Total,0,0,0,9879,0
1,MLRB,185,54750,0,0,5169
RRB,Total,185,54750,0,0,5169
1,JUCB,0,0,0,0,0
2,MCAB,0,9256,0,0,0
3,SCUB,0,0,8075,9991,0
4,TCUB,0,0,0,0,0
Grand,Total,349,199093,145910,691475,23043
