District,Branches,Deposits,Advances,CD Ratio
Araria,160,429342,302819,70.53
Arwal,60,168980,67173,39.75
Aurangabad,186,747187,368885,49.37
Banka,115,390897,185957,47.57
Begusarai,226,919064,559109,60.83
Bhagalpur,276,1485033,588598,39.64
Bhojpur,234,1026439,408510,39.80
Buxar,155,613909,249938,40.71
Darbhanga,245,1193274,473150,39.65
Gaya,303,1664772,715122,42.96
Gopalganj,184,790501,306644,38.79
Jamui,119,433565,199655,46.05
Jehanabad,94,353480,128602,36.38
Kaimur (Bhabua),118,414753,213171,51.40
Katihar,185,635397,380226,59.84
Khagaria,117,372097,197807,53.16
Kishanganj,108,310073,204061,65.81
Lakhisarai,80,307170,119825,39.01
Madhepura,118,340710,193019,56.65
Madhubani,276,851808,351086,41.22
Munger,131,711382,205404,28.87
Muzaffarpur,379,1888761,1085928,57.49
Nalanda,251,1043995,379524,36.35
Nawada,140,517589,249449,48.19
Pashchim Champaran,209,654766,393859,60.15
Patna,930,13192077,5838743,44.26
Purbi Champaran,284,967797,619968,64.06
Purnia,227,699973,555694,79.39
Rohtas,227,986827,450373,45.64
Saharsa,104,425202,211620,49.77
Samastipur,285,1144549,529257,46.24
Saran,259,1273054,437575,34.37
Sheikhpura,60,199775,82973,41.53
Sheohar,45,94376,61875,65.56
Sitamarhi,168,603401,292836,48.53
Siwan,245,1206869,496877,41.17
Supaul,121,382589,212868,55.64
Vaishali,247,1044545,639744,61.25
