District,No of cases pending As On 30.09.2021 No,Amt,No of cases filed during the quarter Dec. 2021 No,Amt,No of Cases disposed during the quarter Dec. 2021 No,Amt,No of Cases pending as at the end of the quarter Dec. 2021 No,Amt
Araria,12303,19488,855,765,119,113,13039,20140
Arwal,4444,5546,162,197,105,87,4501,5656
Aurangabad,10353,8922,290,255,139,146,10504,9031
Banka,60771,62267,93,79,113,80,60751,62266
Begusarai,44733,16647,255,4584,42,81,44946,21150
Bhagalpur,56658,63946,298,359,124,146,56832,64159
Bhojpur,31282,23350,544,568,193,120,31633,23798
Buxar,25651,18643,101,66,135,68,25617,18641
Darbhanga,6140,4721,33,44,7,8,6166,4757
Gaya,45229,6649,2,3,15,60,45216,6592
Gopalganj,26793,17985,77,80,34,110,26836,17955
Jamui,28372,22324,90,220,8,17,28454,22527
Jehanabad,7863,5267,315,316,130,67,8048,5516
Kaimur (Bhabua),17009,15195,34,72,23,56,17020,15211
Katihar,11089,21341,95,369,79,112,11105,21598
Khagaria,10378,20703,335,523,14,15,10699,21211
Kishanganj,6903,4772,34,91,8,9,6929,4854
Lakhisarai,11901,22120,39,74,17,24,11923,22170
Madhepura,4679,5252,674,707,161,174,5192,5785
Madhubani,12820,8195,33,32,12,16,12841,8211
Munger,13743,19010,710,1018,52,97,14401,19931
Muzaffarpur,24120,12004,65,98,6,6,24179,12096
Nalanda,29410,11558,306,268,81,64,29635,11762
Nawada,14312,6363,307,327,135,478,14484,6212
Pashchim Champaran,37543,17506,5539,2779,408,290,42674,19995
Patna,34099,52938,1,2,9,0,34091,52940
Purbi Champaran,13220,11388,294,663,16,57,13498,11994
Purnia,7297,5886,108,726,25,59,7380,6553
Rohtas,12132,27003,101,176,36,56,12197,27123
Saharsa,7102,10640,398,636,89,145,7411,11131
Samastipur,24274,15668,104,204,49,68,24329,15804
Saran,27806,12893,170,171,78,146,27898,12918
Sheikhpura,30125,20594,188,131,51,52,30262,20673
Sheohar,3821,2210,0,0,0,0,3821,2210
Sitamarhi,33180,14448,60,70,1,2,33239,14516
Siwan,16124,12540,111,218,14,146,16221,12612
Supaul,3986,3999,134,150,16,32,4104,4117
Vaishali,22273,12793,0,0,11,14,22262,12779
