District,WEAKER SECTION,WOMEN,SC,ST,OBC,MINORITY,EXSER,HANDICAP
Araria,28167,15135,5193,2582,19556,5309,302,21
Arwal,19575,1520,718,72,8714,1836,4,3
Aurangabad,53746,13175,4005,516,30157,6923,25,23
Banka,24574,7102,2091,857,15528,3266,384,96
Begusarai,73496,27836,5018,804,45184,9915,56,64
Bhagalpur,57603,22208,4031,1806,25232,8020,486,88
Bhojpur,82814,20849,6574,1801,29508,10075,169,122
Buxar,36281,9643,2859,560,18500,5375,113,54
Darbhanga,79820,26574,16287,8024,42191,9315,828,31
Gaya,113902,26457,10905,3615,35270,14576,62,51
Gopalganj,56573,18053,8918,5390,30854,6342,578,53
Jamui,27118,6941,1323,268,15782,3725,29,27
Jehanabad,25138,4128,1146,160,11487,2506,11,16
Kaimur (Bhabua),29479,7195,1014,213,15292,3017,4,3
Katihar,34499,18568,5161,2867,21047,6635,294,22
Khagaria,32190,9741,1721,348,21929,4109,32,27
Kishanganj,18903,10449,3941,1955,12793,7519,210,11
Lakhisarai,23151,4697,1118,372,12851,2535,3,2
Madhepura,31569,10477,4965,2842,20877,3361,323,6
Madhubani,88061,20966,14906,9555,55787,9899,1065,41
Munger,23603,5056,1453,225,13075,2847,58,1111
Muzaffarpur,123414,45489,18909,7650,84993,21034,849,87
Nalanda,48049,10300,2927,622,27807,8222,59,73
Nawada,46092,8787,1669,313,25799,6069,20,20
Pashchim Champaran,60168,19838,9035,5819,36854,7415,682,75
Patna,256386,78854,25616,7082,77649,25854,317,243
Purbi Champaran,83853,33686,12199,7307,48090,9780,768,24
Purnia,54759,27961,6985,4550,25857,14084,473,119
Rohtas,45169,9931,2195,441,21434,5356,30,27
Saharsa,27438,13758,4824,2314,17790,6299,381,101
Samastipur,84405,30361,7604,1085,61553,15393,49,47
Saran,72718,34585,12489,6434,40150,7135,623,36
Sheikhpura,110808,3170,975,281,10315,2361,47,22
Sheohar,14830,2814,2734,1365,8705,1832,161,14
Sitamarhi,42651,15268,6692,3911,27844,6138,460,30
Siwan,201351,30395,28756,15874,42951,21706,689,41
Supaul,28251,9475,6270,2951,19468,6323,526,80
Vaishali,296200,21480,44446,20222,33495,31819,621,58
