District,KCC -NEW TARGET NO.,AMT,SANCTION NO.,Disbursed No.,AMT.,% Achievement No.,KCC-RENEW SANCTION NO.,Total No. of KCC,KCC DISBURSEMENT RABI AMT.,KHARIF AMT.,TOTAL AMT.,LANDLESS LABOUR/TENANT FARMER/ORAL LEESE NO.,(Rs. in lakh) KCC due for renewal NO.
Araria,21479,17182,4890,4641,5144,21.61,30592,35482,31251,0,31251,3055,44268
Arwal,7706,6164,2024,2011,2393,26.10,3876,5900,4924,0,4924,167,4299
Aurangabad,24761,19807,4490,4477,4114,18.08,14766,19256,15791,0,15791,509,41407
Banka,17702,14159,5617,5413,10360,30.58,12990,18607,27646,0,27646,1368,17592
Begusarai,28768,23013,5857,5476,11700,19.04,58893,64750,54898,0,54898,1383,84481
Bhagalpur,31034,24825,7864,7339,14460,23.65,20217,28081,46364,0,46364,2598,24298
Bhojpur,27087,21667,2408,2394,2272,8.84,21840,24248,16269,0,16269,352,23154
Buxar,19015,15210,1656,1624,2163,8.54,9261,10917,11964,0,11964,300,10252
Darbhanga,24340,19471,2000,1984,2072,8.15,35127,37127,48034,0,48034,399,41611
Gaya,31872,25495,2417,2372,6008,7.44,18454,20871,15808,0,15808,501,23192
Gopalganj,24658,19725,1591,1580,1862,6.41,42936,44527,43614,0,43614,298,57849
Jamui,15593,12474,1298,1249,1141,8.01,8509,9807,5749,0,5749,360,11402
Jehanabad,9506,7604,3516,3515,3003,36.98,6232,9748,7547,0,7547,165,6703
Kaimur (Bhabua),16630,13301,1703,1700,2403,10.22,11393,13096,12626,0,12626,338,13349
Katihar,20316,16253,2356,2343,2574,11.53,28142,30498,28999,0,28999,524,51839
Khagaria,15488,12389,2309,2307,2537,14.90,16002,18311,13356,0,13356,232,54573
Kishanganj,10991,8791,1770,1760,1364,16.01,15224,16994,15787,0,15787,234,23206
Lakhisarai,10935,8746,1050,1035,1078,9.47,6280,7330,5936,0,5936,376,10569
Madhepura,14300,11439,6184,6124,5654,42.83,25045,31229,31801,0,31801,821,36706
Madhubani,37867,30291,7828,7821,7034,20.65,62914,70742,60162,0,60162,365,114973
Munger,13057,10445,3808,3805,6466,29.14,8822,12630,13973,0,13973,481,12731
Muzaffarpur,41540,33229,13133,13126,18373,31.60,64325,77458,87559,0,87559,1617,82233
Nalanda,31507,25205,2042,2042,2008,6.48,11845,13887,10870,0,10870,581,22803
Nawada,20639,16508,1375,1375,2898,6.66,11664,13039,13298,0,13298,303,24975
Pashchim Champaran,24774,19816,2634,2634,2445,10.63,24947,27581,24140,0,24140,641,54215
Patna,57811,46246,5495,5434,9722,9.40,21997,27492,26005,0,26005,629,35860
Purbi Champaran,33371,26695,4525,4505,5377,13.50,86194,90719,83175,0,83175,399,123624
Purnia,21359,17085,4885,4875,4715,22.82,52063,56948,60525,0,60525,1840,74419
Rohtas,26292,21033,2307,2286,2532,8.69,20812,23119,18540,0,18540,451,24851
Saharsa,9543,7633,2351,2268,2553,23.77,19782,22133,21087,0,21087,156,25954
Samastipur,41076,32858,5468,5461,3548,13.29,65738,71206,44672,0,44672,310,104404
Saran,28994,23193,2170,2074,2427,7.15,44764,46934,45130,0,45130,370,58464
Sheikhpura,8668,6933,1714,1695,727,19.55,4244,5958,3104,0,3104,249,4516
Sheohar,7042,5633,1398,1389,1919,19.72,14834,16232,19120,0,19120,124,22542
Sitamarhi,27263,21809,6496,6486,5104,23.79,31381,37877,42056,0,42056,347,45868
Siwan,28632,22904,3251,3245,2278,11.33,33284,36535,43012,0,43012,429,42514
Supaul,14732,11783,3035,3020,3591,20.50,24137,27172,28380,0,28380,325,41025
Vaishali,28736,22986,3388,3380,3963,11.76,43274,46662,48293,0,48293,941,71249
