District,Agri Target,Agri Achievement,Agri %,MSME Target,MSME Achievement,MSME %,OPS Target,OPS Achievement,OPS %,TPS Target,TPS Achievement,TPS %,NPS Target,NPS Achievement,NPS %,Total Target,Total Achievement,Total %
Araria,168136,96377,57.32,70854,43973,62.06,21898,13719,62.65,260888,154069,59.06,84253,52956,62.85,345141,207025,59.98
Arwal,58876,41341,70.22,19453,10473,53.84,7750,5508,71.07,86079,57322,66.59,27955,23247,83.16,114034,80569,70.65
Aurangabad,184722,107681,58.29,66437,46343,69.75,22959,12336,53.73,274118,166360,60.69,83907,113525,135.30,358025,279885,78.17
Banka,134531,68394,50.84,41431,25488,61.52,14387,7161,49.77,190349,101043,53.08,55794,29411,52.71,246143,130454,53.00
Begusarai,218273,169141,77.49,117394,100026,85.21,39880,22334,56.00,375547,291501,77.62,156466,83402,53.30,532013,374903,70.47
Bhagalpur,237890,117706,49.48,148891,85833,57.65,54724,22972,41.98,441505,226511,51.30,217069,123202,56.76,658574,349713,53.10
Bhojpur,204202,127991,62.68,94739,57915,61.13,33085,15339,46.36,332026,201245,60.61,117567,54962,46.75,449593,256207,56.99
Buxar,142755,75421,52.83,60452,36461,60.31,22736,7156,31.47,225943,119038,52.68,72618,32109,44.22,298561,151147,50.63
Darbhanga,182377,116878,64.09,113109,72120,63.76,37154,18626,50.13,332640,207624,62.42,154482,80693,52.23,487122,288317,59.19
Gaya,239676,159591,66.59,135859,100371,73.88,48716,18148,37.25,424251,278110,65.55,190613,97917,51.37,614864,376027,61.16
Gopalganj,187762,105999,56.45,59114,34973,59.16,22005,8442,38.36,268881,149414,55.57,79659,38215,47.97,348540,187629,53.83
Jamui,119247,61539,51.61,37595,19413,51.64,14654,8070,55.07,171496,89022,51.91,49309,50121,101.65,220805,139143,63.02
Jehanabad,70966,50238,70.79,40184,20664,51.42,15131,7223,47.74,126281,78125,61.87,54835,44250,80.70,181116,122375,67.57
Kaimur (Bhabua),126468,78610,62.16,40958,26711,65.22,14448,5676,39.29,181874,110997,61.03,54785,24597,44.90,236659,135594,57.30
Katihar,155852,95785,61.46,70786,52030,73.50,22738,13574,59.70,249376,161389,64.72,94562,63196,66.83,343938,224585,65.30
Khagaria,117890,92013,78.05,45673,27765,60.79,17075,10051,58.86,180638,129829,71.87,58920,60630,102.90,239558,190459,79.50
Kishanganj,86043,62010,72.07,41959,21502,51.25,12785,6951,54.37,140787,90463,64.26,47717,34121,71.51,188504,124584,66.09
Lakhisarai,83480,54798,65.64,31252,18874,60.39,11874,8451,71.17,126606,82123,64.87,40929,26377,64.45,167535,108500,64.76
Madhepura,110859,60767,54.81,55114,21973,39.87,17363,4459,25.68,183336,87199,47.56,71297,30995,43.47,254633,118194,46.42
Madhubani,286435,155838,54.41,108322,63657,58.77,38035,15573,40.94,432792,235068,54.31,143513,63816,44.47,576305,298884,51.86
Munger,97871,48748,49.81,55358,27047,48.86,20667,9805,47.44,173896,85600,49.22,76345,59805,78.34,250241,145405,58.11
Muzaffarpur,313030,207894,66.41,183375,140153,76.43,64242,48508,75.51,560647,396555,70.73,256783,389266,151.59,817430,785821,96.13
Nalanda,237553,101129,42.57,90854,64430,70.92,33351,11811,35.41,361758,177370,49.03,115005,51405,44.70,476763,228775,47.99
Nawada,155150,111786,72.05,49224,29923,60.79,18429,8913,48.36,222803,150622,67.60,62646,35791,57.13,285449,186413,65.31
Pashchim Champaran,186427,111537,59.83,89405,50007,55.93,30930,10491,33.92,306762,172035,56.08,119680,41909,35.02,426442,213944,50.17
Patna,445290,367426,82.51,676273,557420,82.43,251617,109713,43.60,1373180,1034559,75.34,1019717,1499654,147.07,2392897,2534213,105.91
Purbi Champaran,253540,157126,61.97,129299,80603,62.34,42091,18914,44.94,424930,256643,60.40,161500,75985,47.05,586430,332628,56.72
Purnia,163313,124596,76.29,108199,88933,82.19,32804,16833,51.31,304316,230362,75.70,132084,53610,40.59,436400,283972,65.07
Rohtas,197419,111586,56.52,88973,58996,66.31,33069,10957,33.13,319461,181539,56.83,117638,51461,43.75,437099,233000,53.31
Saharsa,72647,60602,83.42,44485,29774,66.93,15634,8645,55.30,132766,99021,74.58,64781,40354,62.29,197547,139375,70.55
Samastipur,312571,200713,64.21,119252,82669,69.32,41241,40991,99.39,473064,324373,68.57,161492,167785,103.90,634556,492158,77.56
Saran,221098,126891,57.39,98855,56386,57.04,31714,13855,43.69,351667,197132,56.06,126525,57764,45.65,478192,254896,53.30
Sheikhpura,66183,39226,59.27,23874,11498,48.16,9253,3599,38.90,99310,54323,54.70,34029,11506,33.81,133339,65829,49.37
Sheohar,53695,31941,59.49,20188,8082,40.03,7103,3780,53.22,80986,43803,54.09,26774,17195,64.22,107760,60998,56.61
Sitamarhi,205675,93134,45.28,76484,49773,65.08,25759,11330,43.98,307918,154237,50.09,103904,51167,49.24,411822,205404,49.88
Siwan,217664,204239,93.83,93489,57075,61.05,31172,10680,34.26,342325,271994,79.45,123390,61572,49.90,465715,333566,71.62
Supaul,114015,75015,65.79,56923,28666,50.36,17945,8646,48.18,188883,112327,59.47,79423,38290,48.21,268306,150617,56.14
Vaishali,220419,280477,127.25,95914,62310,64.96,33582,20816,61.99,349915,363603,103.91,132034,75176,56.94,481949,438779,91.04
