District,KCC -NEW TARGET NO.,AMT,SANCTION NO.,AMT,DISBURSED NO.,AMT.,% ACHIEVEMENT NO.,AMT.,KCC-RENEW SANCTION NO.,AMT,DISBURSED NO.,AMT.,TOTAL KCC (NEW+RENEW) SANCTION NO.,AMT,DISBURSED NO.,AMT.,KCC DISBURSEMENT RABI AMT.,KHARIF AMT.,TOTAL AMT.,LANDLESS LABOUR/TENANT FARMER/ORAL LEESE NO.,AMT.,(Rs. in lakh) KCC due for renewal NO.,AMT.
Araria,21479,17182,4890,5431,4641,5144,21.61,29.94,30592,26314,30526,26107,35482,31745,35167,31251,31251,0,31251,3055,164,44268,38509
Arwal,7706,6164,2024,2413,2011,2393,26.10,38.82,3876,2538,3876,2531,5900,4951,5887,4924,4924,0,4924,167,112,4299,2873
Aurangabad,24761,19807,4490,4131,4477,4114,18.08,20.77,14766,11769,14766,11677,19256,15900,19243,15791,15791,0,15791,509,348,41407,16831
Banka,17702,14159,5617,10491,5413,10360,30.58,73.17,12990,17386,12875,17286,18607,27877,18288,27646,27646,0,27646,1368,688,17592,29800
Begusarai,28768,23013,5857,12007,5476,11700,19.04,50.84,58893,43683,58565,43198,64750,55690,64041,54898,54898,0,54898,1383,755,84481,60778
Bhagalpur,31034,24825,7864,14605,7339,14460,23.65,58.25,20217,32084,20099,31904,28081,46689,27438,46364,46364,0,46364,2598,1599,24298,47189
Bhojpur,27087,21667,2408,2323,2394,2272,8.84,10.49,21840,14002,21840,13997,24248,16325,24234,16269,16269,0,16269,352,199,23154,15266
Buxar,19015,15210,1656,2227,1624,2163,8.54,14.22,9261,9839,9261,9801,10917,12066,10885,11964,11964,0,11964,300,172,10252,11246
Darbhanga,24340,19471,2000,2224,1984,2072,8.15,10.64,35127,46074,35127,45962,37127,48298,37111,48034,48034,0,48034,399,188,41611,50106
Gaya,31872,25495,2417,7630,2372,6008,7.44,23.57,18454,9813,18454,9800,20871,17443,20826,15808,15808,0,15808,501,268,23192,11415
Gopalganj,24658,19725,1591,1921,1580,1862,6.41,9.44,42936,42062,42936,41752,44527,43983,44516,43614,43614,0,43614,298,196,57849,53490
Jamui,15593,12474,1298,1196,1249,1141,8.01,9.15,8509,4608,8499,4608,9807,5804,9748,5749,5749,0,5749,360,145,11402,4969
Jehanabad,9506,7604,3516,3069,3515,3003,36.98,39.49,6232,4544,6232,4544,9748,7613,9747,7547,7547,0,7547,165,94,6703,4748
Kaimur (Bhabua),16630,13301,1703,2435,1700,2403,10.22,18.07,11393,10227,11393,10223,13096,12662,13093,12626,12626,0,12626,338,183,13349,11454
Katihar,20316,16253,2356,2650,2343,2574,11.53,15.84,28142,27278,28142,26425,30498,29928,30485,28999,28999,0,28999,524,317,51839,39694
Khagaria,15488,12389,2309,2562,2307,2537,14.90,20.48,16002,10846,16002,10819,18311,13408,18309,13356,13356,0,13356,232,125,54573,19350
Kishanganj,10991,8791,1770,1477,1760,1364,16.01,15.52,15224,14488,15224,14423,16994,15965,16984,15787,15787,0,15787,234,189,23206,21377
Lakhisarai,10935,8746,1050,1113,1035,1078,9.47,12.33,6280,4900,6260,4858,7330,6013,7295,5936,5936,0,5936,376,160,10569,6620
Madhepura,14300,11439,6184,6764,6124,5654,42.83,49.43,25045,26542,24945,26147,31229,33306,31069,31801,31801,0,31801,821,582,36706,36878
Madhubani,37867,30291,7828,7251,7821,7034,20.65,23.22,62914,53318,62914,53128,70742,60569,70735,60162,60162,0,60162,365,174,114973,68861
Munger,13057,10445,3808,6510,3805,6466,29.14,61.91,8822,7529,8416,7507,12630,14039,12221,13973,13973,0,13973,481,243,12731,8499
Muzaffarpur,41540,33229,13133,18430,13126,18373,31.60,55.29,64325,69535,64325,69186,77458,87965,77451,87559,87559,0,87559,1617,881,82233,76954
Nalanda,31507,25205,2042,2058,2042,2008,6.48,7.97,11845,8891,11845,8862,13887,10949,13887,10870,10870,0,10870,581,422,22803,11981
Nawada,20639,16508,1375,3075,1375,2898,6.66,17.56,11664,10403,11664,10400,13039,13478,13039,13298,13298,0,13298,303,155,24975,12279
Pashchim Champaran,24774,19816,2634,2576,2634,2445,10.63,12.34,24947,22214,24947,21695,27581,24790,27581,24140,24140,0,24140,641,312,54215,37070
Patna,57811,46246,5495,9881,5434,9722,9.40,21.02,21997,16433,21992,16283,27492,26314,27426,26005,26005,0,26005,629,348,35860,20823
Purbi Champaran,33371,26695,4525,5827,4505,5377,13.50,20.14,86194,78241,86194,77798,90719,84068,90699,83175,83175,0,83175,399,257,123624,104391
Purnia,21359,17085,4885,4912,4875,4715,22.82,27.60,52063,56104,52040,55810,56948,61016,56915,60525,60525,0,60525,1840,1527,74419,72138
Rohtas,26292,21033,2307,2576,2286,2532,8.69,12.04,20812,16154,20812,16008,23119,18730,23098,18540,18540,0,18540,451,231,24851,18564
Saharsa,9543,7633,2351,2631,2268,2553,23.77,33.45,19782,18829,19782,18534,22133,21460,22050,21087,21087,0,21087,156,97,25954,23600
Samastipur,41076,32858,5468,3657,5461,3548,13.29,10.80,65738,42168,65738,41124,71206,45825,71199,44672,44672,0,44672,310,298,104404,55907
Saran,28994,23193,2170,2453,2074,2427,7.15,10.46,44764,42908,44764,42703,46934,45361,46838,45130,45130,0,45130,370,183,58464,55125
Sheikhpura,8668,6933,1714,788,1695,727,19.55,10.49,4244,2379,4235,2377,5958,3167,5930,3104,3104,0,3104,249,100,4516,2722
Sheohar,7042,5633,1398,1970,1389,1919,19.72,34.07,14834,17220,14832,17201,16232,19190,16221,19120,19120,0,19120,124,52,22542,85630
Sitamarhi,27263,21809,6496,5161,6486,5104,23.79,23.40,31381,37175,31381,36952,37877,42336,37867,42056,42056,0,42056,347,223,45868,42954
Siwan,28632,22904,3251,2355,3245,2278,11.33,9.95,33284,40890,33284,40734,36535,43245,36529,43012,43012,0,43012,429,304,42514,46988
Supaul,14732,11783,3035,3915,3020,3591,20.50,30.48,24137,25086,24137,24789,27172,29001,27157,28380,28380,0,28380,325,203,41025,36351
Vaishali,28736,22986,3388,4022,3380,3963,11.76,17.24,43274,45103,43274,44330,46662,49125,46654,48293,48293,0,48293,941,562,71249,63713
