District,Applications Accepted,Applications Sanctioned,Sanctioned %,Applications Rejected,Rejection %,No of Applications Pending for More than 15 Days,No of Applications Pending for More than 15 Days (%)
Araria,330,69,20.91,260,78.79,1,0.30
Arwal,164,8,4.88,156,95.12,5,3.05
Aurangabad,502,8,1.59,408,81.27,86,17.13
Banka,220,46,20.91,173,78.64,1,0.45
Begusarai,194,37,19.07,147,75.77,10,5.15
Bhagalpur,14,0,0.00,13,92.86,1,7.14
Bhojpur,4,1,25.00,1,25.00,2,50.00
Buxar,217,133,61.29,53,24.42,31,14.29
Darbhanga,14,0,0.00,14,100.00,0,0.00
Gaya,482,108,22.41,826,171.37,0,0.00
Gopalganj,64,16,25.00,36,56.25,12,18.75
Jamui,328,8,2.44,302,92.07,18,5.49
Jehanabad,41,10,24.39,31,75.61,0,0.00
Kaimur (Bhabua),177,7,3.95,98,55.37,72,40.68
Katihar,83,1,1.20,97,116.87,4,4.82
Khagaria,1869,1,0.05,1867,99.89,1,0.05
Kishanganj,95,11,11.58,44,46.32,40,42.11
Lakhisarai,349,77,22.06,250,71.63,23,6.59
Madhepura,253,4,1.58,249,98.42,0,0.00
Madhubani,157,12,7.64,145,92.36,0,0.00
Muzaffarpur,159,29,18.24,130,81.76,0,0.00
Nalanda,86,11,12.79,71,82.56,4,4.65
Nawada,142,12,8.45,130,91.55,0,0.00
Patna,38,5,13.16,28,73.68,5,13.16
Purnia,132,9,6.82,117,88.64,6,4.55
Rohtas,30,2,6.67,18,60.00,10,33.33
Saharsa,136,10,7.35,126,92.65,0,0.00
Samastipur,155,37,23.87,98,63.23,20,12.90
Saran,407,11,2.70,396,97.30,0,0.00
Sheikhpura,61,16,26.23,43,70.49,9,14.75
Sheohar,36,4,11.11,7,19.44,25,69.44
Sitamarhi,63,16,25.40,44,69.84,3,4.76
Siwan,123,31,25.20,81,65.85,11,8.94
Supaul,113,1,0.88,112,99.12,0,0.00
Vaishali,36,10,27.78,22,61.11,4,11.11
