District,Priority Sector Advance Amt,Minority Advance Amt,Minority Share %
Araria,154069,5309,3.45
Arwal,57322,1836,3.20
Aurangabad,166360,6923,4.16
Banka,101043,3266,3.23
Begusarai,291501,9915,3.40
Bhagalpur,226511,8020,3.54
Bhojpur,201245,10075,5.01
Buxar,119038,5375,4.52
Darbhanga,207624,9315,4.49
Gaya,278110,14576,5.24
Gopalganj,149414,6342,4.24
Jamui,89022,3725,4.18
Jehanabad,78125,2506,3.21
Kaimur (Bhabua),110997,3017,2.72
Katihar,161389,6635,4.11
Khagaria,129829,4109,3.16
Kishanganj,90463,7519,8.31
Lakhisarai,82123,2535,3.09
Madhepura,87199,3361,3.85
Madhubani,235068,9899,4.21
Munger,85600,2847,3.33
Muzaffarpur,396555,21034,5.30
Nalanda,177370,8222,4.64
Nawada,150622,6069,4.03
Pashchim Champaran,172035,7415,4.31
Patna,1034559,25854,2.50
Purbi Champaran,256643,9780,3.81
Purnia,230362,14084,6.11
Rohtas,181539,5356,2.95
Saharsa,99021,6299,6.36
Samastipur,324373,15393,4.75
Saran,197132,7135,3.62
Sheikhpura,54323,2361,4.35
Sheohar,43803,1832,4.18
Sitamarhi,154237,6138,3.98
Siwan,271994,21706,7.98
Supaul,112327,6323,5.63
Vaishali,363603,31819,8.75
