District,Pending Cases as on 30.09.2021 No. of Acs,Amt,Cases filed during the quarter Dec' 2021 No. of Acs,Amt,Cases disposed during the quarter Dec'2021 No. of Acs,Amt,Pending Cases as on 31.12.2021 No. of Acs,Amt
Araria,33,317,5,125,2,31,36,411
Arwal,1,14,0,0,0,0,1,14
Aurangabad,14,327,4,236,4,12,14,551
Banka,9,59,1,0,0,0,10,59
Begusarai,11,266,1,0,3,24,9,242
Bhagalpur,28,1994,2,9,2,28,28,1975
Bhojpur,11,353,144,140,139,131,16,362
Buxar,21,188,139,98,128,89,32,197
Darbhanga,32,234,1,10,0,0,33,244
Gaya,32,1365,61,1121,8,58,85,2428
Gopalganj,736,729,5,99,1,5,740,823
Jamui,16,246,10,124,2,13,24,357
Jehanabad,3,37,0,0,0,0,3,37
Kaimur (Bhabua),51,1282,29,623,0,0,80,1905
Katihar,23,165,11,76,0,0,34,241
Khagaria,7,214,0,0,0,6,7,208
Kishanganj,11,43,2,5,1,6,12,42
Lakhisarai,9,345,2,138,1,1,10,482
Madhepura,11,206,0,0,3,10,8,196
Madhubani,10,21,0,0,1,22,9,-1
Munger,31,466,2,17,3,30,30,453
Muzaffarpur,48,669,65,962,3,18,110,1613
Nalanda,23,358,26,371,0,0,49,729
Nawada,26,308,24,350,0,0,50,658
Pashchim Champaran,2910,2608,14,97,4,20,2920,2685
Patna,118,5234,85,3703,2,35,201,8902
Purbi Champaran,32,239,9,146,0,0,41,385
Purnia,58,996,56,9317,3,25,111,10288
Rohtas,20,307,0,0,1,14,19,293
Saharsa,14,90,1,0,0,0,15,90
Samastipur,6,96,6,83,0,0,12,179
Saran,26,335,2,17,0,0,28,352
Sheikhpura,1,12,1,12,0,0,2,24
Sheohar,8,97,1,0,0,0,9,97
Sitamarhi,8,151,2,50,2,7,8,194
Siwan,26,199,2,15,1,8,27,206
Supaul,0,0,0,0,1,1,-1,-1
Vaishali,24,260,9,26,2,2,31,284
