District,Applications Accepted,Applications Sanctioned,Sanctioned %,Applications Rejected,Rejection %,No of Applications Pending for More than 15 Days,No of Applications Pending for More than 15 Days (%)
Araria,1984,467,23.54,1340,67.54,177,8.92
Arwal,622,161,25.88,330,53.05,131,21.06
Aurangabad,1472,638,43.34,671,45.58,163,11.07
Banka,3187,753,23.63,2427,76.15,7,0.22
Begusarai,1695,759,44.78,832,49.09,104,6.14
Bhagalpur,3101,686,22.12,2335,75.30,100,3.22
Bhojpur,3617,823,22.75,2677,74.01,117,3.23
Buxar,3015,657,21.79,1933,64.11,426,14.13
Darbhanga,3002,832,27.71,1985,66.12,185,6.16
Gaya,4956,1521,30.69,2956,59.64,504,10.17
Gopalganj,1058,510,48.20,519,49.05,54,5.10
Jamui,2813,410,14.58,2100,74.65,303,10.77
Jehanabad,1776,699,39.36,1077,60.64,0,0.00
Kaimur (Bhabua),2339,750,32.06,1539,65.80,195,8.34
Katihar,3026,532,17.58,2295,75.84,199,6.58
Khagaria,2235,397,17.76,1777,79.51,61,2.73
Kishanganj,3026,510,16.85,2121,70.09,395,13.05
Lakhisarai,1885,721,38.25,917,48.65,61,3.24
Madhepura,2589,918,35.46,1684,65.04,0,0.00
Madhubani,1918,352,18.35,1566,81.65,0,0.00
Muzaffarpur,4167,1170,28.08,2930,70.31,67,1.61
Nalanda,863,565,65.47,269,31.17,29,3.36
Nawada,2976,632,21.24,2269,76.24,75,2.52
Patna,1716,553,32.23,1128,65.73,46,2.68
Purnia,2174,426,19.60,1306,60.07,442,20.33
Rohtas,4457,673,15.10,3487,78.24,297,6.66
Saharsa,2653,589,22.20,2064,77.80,0,0.00
Samastipur,2058,746,36.25,1193,57.97,119,5.78
Saran,2516,641,25.48,1680,66.77,195,7.75
Sheikhpura,695,89,12.81,428,61.58,47,6.76
Sheohar,945,360,38.10,448,47.41,137,14.50
Sitamarhi,864,282,32.64,559,64.70,23,2.66
Siwan,702,168,23.93,478,68.09,66,9.40
Supaul,931,205,22.02,711,76.37,15,1.61
Vaishali,3777,1430,37.86,2386,63.17,30,0.79
