District,Lead Bank,Date of Establishment of RSETI,Land Allotted by State Govt. (Yes/No),MoU for land executed with the district administra tion (Yes/No),Grant received from NIRD (Yes/No),Map approved by Local authority (Yes/No),Constructio n Started ( Yes/No),Details of Training Programme Organised During Financial Year 31.12.2021 No. of persons s o urced by the branches for training,No of training programm es organised,No. of persons trained,Since Inception No of training programm es organised,No. of persons trained,AS ON 31.12.2021 No. of trainees settled,No. of trainees settled with Bank finance,AS ON Dec. 2021 Name of the Agency viz. DRDA/KVIC/ NABARD etc.with whom claims are pending,Amt of reimbursement claim pending (Amt in Lacs)
Araria,SBI,19.02.2010,Yes,Yes,Yes,Yes,Yes,0,10,330,193,5392,4133,2227,,13
Arwal,pnb,12-12-2011,YES,YES,YES,YES,YES,97,16,478,228,6451,4716,1821,SRLM/NULM,8
Aurangabad,pnb,29-02-2012,YES,YES,YES,YES,YES,16,16,495,261,7310,5249,2175,DRDA/SRLM,10
Banka,uco,20-07-2011,YES,YES,YES,YES,YES,34,3,40,194,6184,2,0,SRLM,3
Begusarai,uco,29-07-2011,YES,YES,YES,YES,YES,45,2,40,189,6342,1,0,SRLM,2
Bhagalpur,uco,14-03-2011,YES,YES,YES,YES,YES,32,2,41,180,5760,1,0,SRLM,3
Bhojpur,pnb,28-03-2012,YES,YES,YES,YES,YES,130,14,456,194,5723,4140,1360,SRLM,1
Buxar,pnb,26-12-2012,YES,YES,YES,YES,YES,70,15,476,208,5327,3650,1250,KVIC,2
Darbhanga,cbi,27-11-2010,YES,YES,YES,YES,YES,1,3,105,208,5968,3864,1181,SRLM,7
Gaya,pnb,24-03-2010,YES,YES,YES,YES,NO,11,1,32,339,9210,6330,2701,SRLM,10
Gopalganj,cbi,10-02-2011,YES,YES,YES,YES,YES,5,5,26,165,4906,3397,1204K,VIC NRLM & NUL,M 21
Jamui,SBI,26.03.2011,Yes,Yes,Yes,Yes,Yes,0,13,360,181,5062,3792,2131,,19
Jehanabad,pnb,30-09-2011,YES,YES,YES,YES,YES,54,17,499,251,7016,5056,2240,SRLM,17
Kaimur (Bhabua),pnb,29-12-2011,YES,YES,NO,YES,YES,21,8,247,227,5938,4097,871,SRLM,0
Katihar,cbi,01-10-2011,YES,YES,YES,YES,YES,8,1,35,196,5598,4720,2370,SRLM,14
Khagaria,ubi,10-02-2010,YES,YES,YES,YES,NO,10,18,596,206,6685,4092,1201,,0
Kishanganj,SBI,19.03.2010,Yes,Yes,Yes,Yes,Yes,0,15,436,221,6512,4691,2289,,97
Lakhisarai,pnb,28-09-2010,YES,YES,YES,YES,NO,8,1,22,228,5789,3514,973,SRLM,8
Madhepura,SBI,27.03.2009,Yes,Yes,Yes,Yes,Yes,0,13,349,195,5159,3600,1921,,16
Madhubani,cbi,29-01-2011,YES,YES,YES,YES,YES,1,2,70,206,5717,3576,1153,SRLM,9
Munger,uco,01-02-2011,YES,YES,YES,NO,NO,33,3,50,171,5487,0,0,SRLM,4
Muzaffarpur,cbi,19-02-2007,YES,YES,YES,YES,YES,1,6,154,280,7621,5794,2542,SRLM,5
Nalanda,pnb,15-02-2010,YES,YES,YES,YES,YES,13,1,35,239,7482,4214,1736,,0
Nawada,pnb,28-03-2010,YES,YES,YES,YES,NO,150,18,606,293,7646,5476,1722,,0
Pashchim Champaran,cbi,27-01-2011,YES,YES,YES,YES,YES,5,2,63,194,5632,3527,1461,SRLM KVIC,12
Patna,pnb,15-01-2007,NO,NO,NO,NO,NO,70,21,542,278,8845,5850,1930,,0
Purbi Champaran,cbi,19-12-2011,YES,YES,YES,YES,YES,5,8,229,219,6777,4539,2049,SRLM,1
Purnia,SBI,30.03.2007,Yes,Yes,Yes,Yes,Yes,0,13,383,203,5555,4060,2183,,51
Rohtas,pnb,27-11-2012,YES,YES,YES,YES,YES,128,17,534,212,6519,4575,1744,SRLM,25
Saharsa,SBI,27.03.2009,Yes,Yes,Yes,Yes,Yes,0,12,341,200,5312,3636,1865,,89
Samastipur,ubi,01-07-2010,YES,YES,YES,YES,NO,10,5,118,185,5376,3643,1203,,0
Saran,cbi,08-02-2011,YES,YES,YES,YES,YES,3,2,44,157,4492,2743,963,SRLM,6
Sheikhpura,can,19-01-2010,YES,YES,YES,YES,YES,50,13,364,312,9615,6912,4563,KVICNSKSHGOVT,. 0
Sheohar,bob,31-03-2010,YES,YES,YES,YES,NO,177,20,599,312,9248,1712,408,SRLM,29
Sitamarhi,bob,28-03-2012,YES,YES,YES,YES,NO,54,14,380,215,5896,3731,1863,SRLM,7
Siwan,cbi,15-03-2011,YES,YES,YES,YES,YES,10,5,168,166,4487,3464,1534,SRLM KVIC,23
Supaul,SBI,25.03.2009,Yes,Yes,Yes,Yes,Yes,0,12,413,217,5978,4363,2635,,22
Vaishali,can,30-01-2008,YES,YES,YES,YES,YES,126,18,484,394,11884,9213,3259,SRLM JIVIKA,61
