District,Rural Branches,Camps Conducted
Araria,82,126
Arwal,40,151
Aurangabad,120,287
Banka,77,131
Begusarai,83,175
Bhagalpur,103,187
Bhojpur,128,303
Buxar,89,206
Darbhanga,113,248
Gaya,176,384
Gopalganj,116,205
Jamui,72,227
Jehanabad,57,152
Kaimur (Bhabua),82,226
Katihar,109,146
Khagaria,53,174
Kishanganj,62,106
Lakhisarai,44,138
Madhepura,41,115
Madhubani,125,231
Munger,58,185
Muzaffarpur,183,393
Nalanda,146,408
Nawada,72,210
Pashchim Champaran,97,210
Patna,218,410
Purbi Champaran,106,297
Purnia,104,121
Rohtas,134,355
Saharsa,49,126
Samastipur,166,467
Saran,161,358
Sheikhpura,31,116
Sheohar,20,76
Sitamarhi,62,128
Siwan,133,250
Supaul,50,121
Vaishali,139,209
