District,Number of ATMs No. of ATMs as on 30.09.2021 (A),No. of ATMs opened during the Quarter Dec. 2021 (B),No. of ATMs closed during the Quarter Dec. 2021 (C),Total No. of ATMs (D=A+B-C),Total ATM Card issued No.,Out which ATM Card issued to KCC account
Araria,96,0,0,96,1651791,51299
Arwal,28,2,0,30,446386,32046
Aurangabad,139,2,0,141,1872397,69059
Banka,83,4,0,87,1005033,13938
Begusarai,191,2,3,190,2107732,36076
Bhagalpur,289,0,3,286,2105274,20564
Bhojpur,195,1,0,196,1710348,46437
Buxar,96,5,0,101,1151780,37924
Darbhanga,203,2,0,205,2359081,45186
Gaya,321,6,3,324,2982821,66338
Gopalganj,132,7,0,139,1919896,93459
Jamui,43,2,0,45,1081772,15758
Jehanabad,76,0,2,74,743115,16430
Kaimur (Bhabua),60,4,1,63,1099098,55333
Katihar,116,6,2,120,1811262,41617
Khagaria,79,0,0,79,734856,14102
Kishanganj,67,0,0,67,1173055,31664
Lakhisarai,40,5,0,45,521627,11245
Madhepura,79,2,1,80,1443627,41440
Madhubani,181,1,0,182,2633811,81639
Munger,100,0,2,98,1233110,7470
Muzaffarpur,389,1,1,389,3100879,120439
Nalanda,170,0,0,170,1751986,54264
Nawada,64,0,0,64,1425843,51648
Pashchim Champaran,179,6,2,183,2737376,112290
Patna,1492,21,3,1510,6182468,52594
Purbi Champaran,202,10,4,208,3299323,149065
Purnia,175,2,0,177,2618166,65258
Rohtas,162,2,0,164,2053463,59228
Saharsa,98,0,1,97,1277826,40737
Samastipur,206,12,0,218,2672857,44859
Saran,202,3,0,205,2948470,65678
Sheikhpura,40,0,0,40,363346,5669
Sheohar,25,3,0,28,210238,11788
Sitamarhi,114,1,1,114,1771466,54865
Siwan,171,1,3,169,2355157,70882
Supaul,88,0,4,84,1592537,49009
Vaishali,211,7,1,217,2259280,88370
