District,No of CSP/Bank Mitra Engaged,Tranaction details of BCAs No of Accounts opened during FY : 2021-22,Amount (amt in Lacs) during FY : 2021-22,No. of (Debit/Credit) transaction mad in the A/c during FY : 2021-22,Amount of transaction (Debit/Credit) made in the a/c during FY : 2021-22 (Amt. in Lacs),Cumulative Achievement upto : 31.12.2021 (since Inception) No. of Accounts Opened,Amt of Transactions (Debit/Credit) made in the A/C (Amt. in Lacs)
Araria,845,52428,13785,2468508,239141,822340,412506
Arwal,278,6401,11370716,292876,263300498,184271,230037
Aurangabad,696,26718,34572728,1042814,714295016,760954,652277
Banka,646,13661,7125619,1911845,194679078,475230,144593
Begusarai,807,21749,10773386,2212149,526262058,615594,368689
Bhagalpur,896,35151,9049018,1574357,259826588,652908,308263
Bhojpur,771,32725,87884155,1955853,194421475,951616,1310674
Buxar,772,15659,36152719,1182753,751995713,522174,548835
Darbhanga,1131,55097,29349,1252667,155066,1181793,520185
Gaya,918,59123,32250659,2006126,139771346,1399958,1412719
Gopalganj,860,51292,13102,3117858,192245,1130555,252364
Jamui,655,8289,11400537,2407587,21680848,394416,207275
Jehanabad,288,10379,16816346,491612,418509228,279072,323102
Kaimur (Bhabua),479,18406,29116154,912101,570195111,450507,950094
Katihar,800,32033,5380,1668607,95613,1092401,256594
Khagaria,478,15415,15192351,1167247,641026374,491718,357579
Kishanganj,579,40713,5754,1411567,196265,707942,310006
Lakhisarai,289,7289,11686601,809799,270794147,280890,135989
Madhepura,609,21426,6222,2075207,121843,764590,138569
Madhubani,1152,43011,24014,1941979,155062,1108733,393720
Munger,487,10111,12780862,1262967,250300622,339917,224248
Muzaffarpur,1503,78158,27938,2329999,162486,1517245,796050
Nalanda,969,19225,60880975,1890420,131936499,852032,826080
Nawada,524,10812,40781068,1456878,109461445,796085,551808
Pashchim Champaran,1024,66554,24596,3086144,220976,1751161,504604
Patna,1286,89024,28886724,1803406,451336939,2090219,1423217
Purbi Champaran,1310,74155,21730,3358030,237437,1600736,424226
Purnia,934,57768,7739,3439203,174305,1254173,323121
Rohtas,688,94442,51414250,1792510,104714982,1208624,1108818
Saharsa,755,17127,10696,1572435,89316,636374,247507
Samastipur,1254,38896,26312222,3854792,833282571,1434874,824140
Saran,1079,71497,18290,3773234,207378,1552899,376553
Sheikhpura,218,7178,2966967,707840,72685047,206997,82092
Sheohar,283,17925,2411,141226,17607,284711,270362
Sitamarhi,998,51199,14090,1510857,124703,1100244,641990
Siwan,987,54845,17359,2031616,148146,1419979,301338
Supaul,686,26415,10509,1991403,151245,721675,233674
Vaishali,972,62636,15264,2407340,147406,1674240,383168
