District,population,literacy,density,urbanization
South Tripura,4.34,84.66,305,17.32
West Tripura,9.17,88.69,522,49.65
Dhalai,3.78,85.72,131,9.87
Khowai,3.27,87.42,167,12.45
Unakoti,2.77,81.47,196,8.76
North Tripura,4.15,87.50,181,13.21
Sepahijala,4.84,89.21,347,22.34
Gomti,4.36,84.17,229,14.56
