district,period,acp_achievement__ach,acp_achievement__target,cd_ratio__approved_by_government,cd_ratio__forwarded_by_nodal_officer,cd_ratio__forwarded_by_slbc,cd_ratio__processed_by_bank_branch,crop_loan__ach,crop_loan__achieve_ment,crop_loan__achievem_ent,crop_loan__achievement,crop_loan__ag_target,crop_loan__no,crop_loan__riculture_achievement,crop_loan__target,education_loan__0,education_loan__102_28,education_loan__10_86,education_loan__12_58,education_loan__21_72,education_loan__35_59,education_loan__3_21,education_loan__4_35,education_loan__6_23,education_loan__7_74,education_loan__approved_by_government,education_loan__forwarded_by_nodal_officer,education_loan__forwarded_by_slbc,education_loan__processed_by_bank_branch,education_loan__sbi,education_loan__sponsor_bank,rseti__bpl,rseti__sc,rseti__st,rseti__women,uncategorized__achievement,uncategorized__achievement_of_q1,uncategorized__achievement_of_q3,uncategorized__target_for_2020_21,uncategorized__target_for_2021_22,uncategorized__target_for_2022_23
Alappuzha,March 2020,97,100000000,,,,,76,,,40568682,,,,53260000,,,,,,,,,,,,,,,,,579,65,5,625,,,,,,
Ernakulam,March 2020,113,326847576,,,,,73,,,63586666,,,,87275722,,,,,,,,,,,,,,,,,464,80,0,614,,,,,,
Idukki,March 2020,120,66833400,,,,,87,,,34413262,,,,39730200,,,,,,,,,,,,,,,,,341,55,13,483,,,,,,
Kannur,March 2020,49,194853074,,,,,113,,,46865372,,,,41435482,,,,,,,,,,,,,,,,,504,92,14,420,,,,,,
Kollam,March 2020,161,129951580,,,,,132,,,76290893,,,,57953516,,,,,,,,,,,,,,,,,596,94,0,630,,,,,,
Kottayam,March 2020,73,185000000,,,,,87,,,55938934,,,,64000000,,,,,,,,,,,,,,,,,670,85,15,609,,,,,,
Kozhikode,March 2020,94,196963600,,,,,112,,,73429442,,,,65700200,,,,,,,,,,,,,,,,,332,76,3,539,,,,,,
Malappuram,March 2020,96,141000000,,,,,103,,,61230092,,,,59447210,,,,,,,,,,,,,,,,,714,118,0,607,,,,,,
Palakkad,March 2020,111,143575900,,,,,122,,,59985966,,,,48977506,,,,,,,,,,,,,,,,,395,119,0,484,,,,,,
Pathanamthitta,March 2020,52,75852908,,,,,73,,,20947406,,,,28587517,,,,,,,,,,,,,,,,,634,111,12,615,,,,,,
Thrissur,March 2020,193,191940000,,,,,135,,,77518067,,,,57410000,,,,,,,,,,,,,,,,,515,101,7,547,,,,,,
Wayanad,March 2020,111,45000000,,,,,113,,,35927899,,,,31900000,,,,,,,,,,,,,,,,,455,39,104,378,,,,,,
Alappuzha,June 2020,22,105000000,,,,,22,,,12504034,,,,56300000,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,
Ernakulam,June 2020,29,333498780,,,,,17,,,13721154,,,,81725235,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,
Idukki,June 2020,17,74906626,,,,,16,,,6461030,,,,40434072,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,
Kannur,June 2020,19,195438055,,,,,40,,,18386461,,,,46089947,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,
Kollam,June 2020,27,114313859,,,,,27,,,13275948,,,,49018490,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,
Kottayam,June 2020,13,190000000,,,,,20,,,13422114,,,,67000000,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,
Kozhikode,June 2020,24,216430200,,,,,26,,,19329800,,,,74670200,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,
Malappuram,June 2020,16,160420000,,,,,18,,,11717081,,,,66270000,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,
Palakkad,June 2020,26,132612438,,,,,32,,,16069453,,,,50769100,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,
Pathanamthitta,June 2020,21,75852908,,,,,30,,,8688926,,,,28587517,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,
Thrissur,June 2020,27,210644000,,,,,36,,,23110964,,,,65055000,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,
Wayanad,June 2020,24,46000000,,,,,25,,,8045635,,,,32600000,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,
Alappuzha,December 2020,72,105000000,,,,,62,,,34632984,,,,56300000,,,,,,,,,,,,,,,,,196,30,0,210,105%,,1439,1370,,
