district,Allocated Bank,Sub District,Village Name,Population,Reply from Bank,Suggestion made by house
Dhalai,IDFC First Bank,Longtha rai Valley,Manu Chhailengta R.F. (Part) Village Code: 272532,5843,Bank yet to give response to SLBC desk after Bank’s Earlier reply was not accepted by the house.,IDFC Bank is requested to proceed for opening of branch at the allotted location.
Khowai,Federal Bank,Khowai,Purba Rajnagar Village Code: 271934,4301,Allocated to concerned Bank by SLBC on 17.05.2023. Bank’s reply to DFS: Assigned team is doing a detailed feasibility study of the location.,Federal Bank to expedite the process.
North Tripura,ICICI Bank,Dasda,Taiyangpara Village Code: 272721,4334,ICICI Bank has been allocated alternate location at “Dasmanipara” due to Infrastructure issues within 05 km of radius vide our email letter dated 31.08.2024,
South Tripura,Bank of Maharashtra,Belonia,Abhaynagar Village Code: 272301,7052,Branch opened and started functioning.,
