district,state_tripura_no_of_program_me,state_tripura_no_of_participants_male,state_tripura_no_of_participants_female,state_tripura_no_of_participants_total,state_tripura_out_of_total_participants_sc,state_tripura_out_of_total_participants_st,state_tripura_out_of_total_participants_obc,state_tripura_out_of_total_participants_mc,state_tripura_no_of_trainees_employed_with_owned_fund,state_tripura_no_of_trainees_employed_with_bank_loan,state_tripura_no_of_trainees_employed_wage_employed,state_tripura_no_of_trainees_employed_total,state_tripura_financial_status_of_trainees_apl,state_tripura_financial_status_of_trainees_bpl,state_tripura_financial_status_of_trainees_total
Dhalai,16,32,449,481,57,324,87,2,9,16,0,25,0,481,481
Gomati,19,13,606,619,89,190,154,11,93,36,0,129,0,619,619
Sepahijala,14,3,457,460,166,61,176,31,23,6,0,29,0,460,460
Unakoti,15,45,435,480,99,138,104,16,109,10,0,119,0,419,419
West Tripura,17,45,435,480,113,260,75,5,77,45,0,122,1,479,480
