district,coverage_percentage_pct_of_eligible_savings_accounts_through_any_one_digital_mode,coverage_percentage_pct_of_eligible_current_accounts_through_any_one_digital_mode,eligible_operative_savings_accounts_no_of_accounts,eligible_operative_savings_accounts_of_which_no_of_women_accounts,debit_rupay_cards_coverage_total_no_of_accounts_covered,debit_rupay_cards_coverage_pct_coverage,debit_rupay_cards_coverage_out_of_total_no_of_women_accounts_g6_no_of_women_accounts_covered,debit_rupay_cards_coverage_pct_coverage_for_women_accounts,internet_banking_coverage_total_no_of_accounts_covered,internet_banking_coverage_pct_coverage,internet_banking_coverage_out_of_total_no_of_women_accounts_g6_no_of_women_accounts_covered,internet_banking_coverage_pct_coverage_for_women_accounts,mobile_banking_upi_ussd_coverage_total_no_of_accounts_covered,mobile_banking_upi_ussd_coverage_pct_coverage,mobile_banking_upi_ussd_coverage_out_of_total_no_of_women_accounts_g6_no_of_women_accounts_covered,mobile_banking_upi_ussd_coverage_pct_coverage_for_women_accounts,aeps_coverage_total_no_of_accounts_covered,aeps_coverage_pct_coverage,aeps_coverage_out_of_total_no_of_women_accounts_g6_no_of_women_accounts_covered,aeps_coverage_pct_coverage_for_women_accounts,coverage_with_at_least_one_of_the_digital_modes_of_payment_debit_rupay_cards_internet_banking_mobile_banking_upi_ussd_aeps_total_no_of_accounts_covered,coverage_with_at_least_one_of_the_digital_modes_of_payment_debit_rupay_cards_internet_banking_mobile_banking_upi_ussd_aeps_pct_coverage,coverage_with_at_least_one_of_the_digital_modes_of_payment_debit_rupay_cards_internet_banking_mobile_banking_upi_ussd_aeps_out_of_total_no_of_women_accounts_g6_no_of_women_accounts_covered,coverage_with_at_least_one_of_the_digital_modes_of_payment_debit_rupay_cards_internet_banking_mobile_banking_upi_ussd_aeps_pct_coverage_for_women_accounts,no_of_operative_sb_accounts_ineligible_for_digital_coverage_as_per_bank_s_board_approved_policies_pct_coverage_for_women_accounts,total_no_of_eligible_operative_current_business_accounts,eligible_operative_current_business_accounts_covered_through_net_banking_no_of_accounts_covered,eligible_operative_current_business_accounts_covered_through_net_banking_pct_coverage,eligible_operative_current_business_accounts_covered_with_pos_qr_no_of_accounts_covered,eligible_operative_current_business_accounts_covered_with_pos_qr_pct_coverage,eligible_operative_current_business_accounts_covered_with_mobile_banking_etc_no_of_accounts_covered,eligible_operative_current_business_accounts_covered_with_mobile_banking_etc_pct_coverage,eligible_operative_current_business_accounts_covered_with_at_least_one_of_facilities_net_banking_pos_qr_mobile_banking_no_of_accounts_covered,eligible_operative_current_business_accounts_covered_with_at_least_one_of_facilities_net_banking_pos_qr_mobile_banking_pct_coverage,no_of_operative_current_business_accounts_ineligible_for_digital_coverage_as_per_bank_s_board_approved_policies_pct_coverage
Dhalai,100,100,573622,286332,192023,33.48,85578,29.89,42028,7.33,17493,6.11,125125,21.81,63562,22.2,458353,79.91,227550,79.47,573622,100,286332,100,7013,5372,1714,31.91,2729,50.8,2616,48.7,5372,100,380
Gomati,100,100,729724,379389,270777,37.11,133584,35.21,83910,11.5,32748,8.63,230666,31.61,111762,29.46,560614,76.83,284383,74.96,729724,100,379389,100,9886,10824,3222,29.77,3911,36.13,3508,32.41,10824,100,581
Khowai,100,100,500577,255107,191219,38.2,84956,33.3,52711,10.53,24561,9.63,142897,28.55,74340,29.14,365935,73.1,182466,71.53,500577,100,255107,100,5265,5959,2155,36.16,2747,46.1,2987,50.13,5959,100,403
North Tripura,100,100,571379,290003,241374,42.24,114200,39.38,69100,12.09,26946,9.29,159991,28,72879,25.13,422809,74,208482,71.89,571379,100,290003,100,6818,6678,2505,37.51,4130,61.84,2631,39.4,6678,100,499
Sepahijala,100,100,690111,347798,259768,37.64,120702,34.7,67029,9.71,26708,7.68,228361,33.09,109190,31.39,493185,71.46,245235,70.51,690111,100,347798,100,8726,8391,2317,27.61,4044,48.19,4115,49.04,8391,100,506
South Tripura,100,100,686003,337235,219249,31.96,90742,26.91,60097,8.76,14908,4.42,160601,23.41,70188,20.81,518223,75.54,258270,76.58,686003,100,337235,100,5962,7904,2638,33.38,3859,48.82,3916,49.54,7904,100,728
Unakoti,100,100,421521,210382,159503,37.84,72550,34.48,43872,10.41,18430,8.76,108350,25.7,52572,24.99,312562,74.15,156255,74.27,421521,100,210382,100,2159,6047,1798,29.73,2283,37.75,2562,42.37,6047,100,356
West Tripura,100,100,1842157,838132,1118871,60.74,427433,51,489198,26.56,131680,15.71,858981,46.63,363200,43.33,1344250,72.97,562494,67.11,1842157,100,838132,100,26338,36547,19109,52.29,13758,37.64,19017,52.03,36547,100,2780
