district,Eligible Operative Savings Accounts No. of Accounts,"Of which, no. of women accounts",Debit/ RuPay cards coverage Total No. of Accounts covered,% coverage,"Out of total no. of women accounts (G6), no of women accounts covered",% coverage for women accounts,Internet Banking coverage Total No. of Accounts covered
Dhalai,573622,286332,192023,7.33,17493,6.11,42028
Gomati,729724,379389,270777,11.50,32748,8.63,83910
Khowai,500577,255107,191219,10.53,24561,9.63,52711
Sepahijala,690111,347798,259768,9.71,26708,7.68,67029
