district,State,Address,Name of Sponsorin g Bank,FLC Code,Special Camp No. of Literacy Camps undertake n,No. of Persons participate d,Target Group No. of Literacy Camps undertake n,No. of Persons participat ed
Dhalai,Tripura,LDM(Dhalai),PNB,19302,48,2184,49,2213
Gomati,Tripura,TGB Udaipur Branch,TGB,33903,7,236,7,236
Khowai,Tripura,TGB Khowai Branch,TGB,33701,5,111,5,111
North Tripura,Tripura,TGB Dharmanagar Branch,TGB,19001,5,185,5,185
Sepahijala,Tripura,TGB Bishramganj Branch,TGB,33802,6,144,6,144
South Tripura,Tripura,TGB Santirbazar Branch,TGB,19201,2,74,1,43
Unakoti,Tripura,LDM(Unakoti ),PNB,35602,27,1257,58,2635
West Tripura,Tripura,LDM(West),PNB,19102,4,264,8,544
