district,Total No. of Operative SB Accounts,Total No. of Operative SB Accounts covered with at least one of the facilities - Debit/ RuPay cards/ Net Banking/ Mobile Banking/ UPI/ USSD,% of such Accounts out of total Operative Savings Accounts,Total No. of Operative Current Accounts,Total No. of Operative Current Accounts covered with at least one of facilities - Net Banking/ POS/ QR etc.,% of such Accounts out of total Operative Current Accounts
Gangtok,344153,334894,97.31%,11527,10207,88.55%
Gyalshing,78404,75182,95.89%,1438,1339,93.12%
Mangan,50501,46779,92.63%,1022,936,91.59%
Namchi,154083,149412,96.97%,9696,9217,95.06%
Pakyong,128150,115402,90.05%,2260,2055,90.93%
Soreng,97021,89426,92.17%,725,629,86.76%
