district,CD RATIO March 2020,CD RATIO March 2021,CD RATIO March 2022,CD RATIO Since March 2021
Dhalai,96,96,99,+3
Gomati,64,63,63,No Change
Khowai,65,52,58,+6
North Tripura,52,62,62,No Change
Sepahijala,72,68,65,-3
South Tripura,57,57,63,+6
Unakoti,75,64,67,+3
West Tripura,51,47,51,+4
