district,tripura_gramin_bank,tripura_state_co_operativ_e_bank,punjab_national_bank,state_bank_of_india,uco_bank,bank_of_baroda,union_bank_of_india,total
Dhalai,49,57,25,8,5,0,0,144
Gomati,85,73,15,17,0,0,0,190
Khowai,78,44,9,19,11,0,0,161
North Tripura,71,33,14,18,1,0,1,138
Sepahijala,110,47,11,17,9,4,0,198
South Tripura,120,44,18,28,0,0,2,212
Unakoti,51,30,14,12,1,0,0,108
West Tripura,113,31,24,21,1,5,0,195
