district,pmjdy_accounts_population_no_of_pmjdy_no_of_pmjdy_no_of_pmjdy_per_one_lakh_sl_district_census_accounts_as_on_accoun,no_of_pmjdy_population_no_of_no_of_no_of_accounts_per_pmjdy_sl_district_census_pmjdy_one_lakh_accounts,total_women_pmjdy_women_accounts_per_no_of_women_no_of_women_no_of_women
Dhalai,94046,94046,52255
Gomati,95158,95158,51017
Khowai,83774,83774,47258
North Tripura,114279,114279,61420
Sepahijala,77249,77249,44616
South Tripura,109120,109120,62334
Unakoti,75904,75904,44862
West Tripura,206639,206639,116795
