District,Total Br,PMJJBY,PMSBY,APY,Total Enrol- ment
Aizawl,110,32431,60071,3318,95820
Champhai,17,3563,6204,545,10312
Hnahthial,5,2754,4611,120,7485
Khawzawl,8,2431,4165,25,6621
Kolasib,20,4881,9767,690,15338
Lawngtlai,12,4258,8664,688,13610
Lunglei,22,9695,20386,1128,31209
Mamit,13,4569,8635,279,13483
Saiha,7,2457,4022,167,6646
Saitual,10,2368,3880,53,6301
Serchhip,15,4497,7434,174,12105
