district,Total Br(s),Current Year Self-Help Group No.,Amt.,NRLM O/S No.,Amt.,NRLM Irregular No.,Amt.,NRLM NPA No.,Amt.,%
Aizawl,110,82,4.54,227,4.54,34,4.54,3,4.54,1.11
Champhai,17,97,20.04,402,20.04,70,20.04,14,20.04,1.64
Hnahthial,5,9,0,25,0,3,0,0,0,0
Khawzawl,8,44,21.28,155,21.28,20,21.28,14,21.28,8.57
Kolasib,20,41,95.01,275,95.01,30,95.01,50,95.01,17.89
Lawngtlai,12,39,24.68,197,24.68,41,24.68,31,24.68,11.79
Lunglei,22,11,0.31,64,0.31,12,0.31,1,0.31,0.35
Mamit,13,59,29.53,326,29.53,69,29.53,27,29.53,5.92
Saiha,7,11,30.31,236,30.31,7,30.31,23,30.31,8.28
Saitual,10,58,1.67,167,1.67,22,1.67,1,1.67,0.38
Serchhip,15,66,19.65,381,19.65,87,19.65,15,19.65,2.69
