District,Total Br,Micro,Small,Medium,Other Msme,Msme Total O/S
Aizawl,110,13935,412,33,62,14442
Champhai,17,1918,7,0,30,1955
Hnahthial,5,295,4,0,0,299
Khawzawl,8,473,5,1,0,479
Kolasib,20,2657,29,0,1,2687
Lawngtlai,12,1110,21,0,0,1131
Lunglei,22,3020,56,0,2,3078
Mamit,13,1011,2,0,0,1013
Saiha,7,662,8,0,0,670
Saitual,10,824,2,0,0,826
Serchhip,15,1464,17,0,0,1481
