District,Total Br(s),In- active CSPs,RuPaycardactivein PMJDY,Firsttimeactive RuPaycard,Aadhaar Authenti- cated SB accounts,RuPaycardissuedin KCC
Aizawl,110,49,47574,17402,122215,1615
Champhai,17,6,6800,961,10766,132
Hnahthial,5,0,2875,1032,3655,19
Khawzawl,8,6,4297,683,4923,82
Kolasib,20,11,13300,3240,12876,172
Lawngtlai,12,19,20294,10691,16926,114
Lunglei,22,21,21898,6943,19943,127
Mamit,13,9,8732,1341,6562,13
Saiha,7,21,5856,866,8019,406
Saitual,10,1,3185,1092,4589,349
Serchhip,15,3,6968,807,5605,126
