district,Total Br(s),SANCTION No.,Amt.,DISBURSED No.,Amt.,O/S No.,Amt.,NPA No.,Amt.,%
Aizawl,110,138,455.67,100,455.67,956,455.67,199,455.67,13.74
Champhai,17,11,23.14,11,23.14,109,23.14,12,23.14,8.6
Hnahthial,5,8,7.25,8,7.25,25,7.25,2,7.25,7.43
Khawzawl,8,7,16.77,7,16.77,54,16.77,6,16.77,8.26
Kolasib,20,17,127,14,127,235,127,44,127,14.18
Lawngtlai,12,20,41.91,20,41.91,170,41.91,26,41.91,13.97
Lunglei,22,21,55.97,14,55.97,230,55.97,37,55.97,11.59
Mamit,13,22,51.04,20,51.04,196,51.04,20,51.04,10.84
Saiha,7,7,62.01,7,62.01,90,62.01,28,62.01,29.51
Saitual,10,16,10.71,14,10.71,101,10.71,7,10.71,2.72
Serchhip,15,22,47.52,24,47.52,251,47.52,17,47.52,6.82
