District,Total Branch,Sishu,Kishore,Tarun,Total MUDRA Disb
Aizawl,110,3580,1680,628,5888
Champhai,17,818,156,101,1075
Hnahthial,5,15,14,4,33
Khawzawl,8,26,28,23,77
Kolasib,20,844,552,83,1479
Lawngtlai,12,2,98,51,151
Lunglei,12,697,271,111,1079
Mamit,13,6,72,16,94
Saiha,7,8,35,39,82
Saitual,10,8,54,30,92
Serchhip,15,28,120,51,199
