district,Branches Rural,Semi- Urban,Urban,Total,ATMs Rural,Semi- Urban,Urban,Total,CSPs Fixed,Others,Total
Aizawl,21,0,131,207,6,0,131,207,83,124,207
Champhai,5,9,0,41,0,9,0,41,38,3,41
Hnahthial,4,0,0,8,1,0,0,8,8,0,8
Khawzawl,5,2,0,22,1,2,0,22,22,0,22
Kolasib,6,14,0,53,1,14,0,53,49,4,53
Lawngtlai,4,5,0,82,1,5,0,82,82,0,82
Lunglei,8,14,0,74,1,14,0,74,67,7,74
Mamit,11,0,0,43,4,0,0,43,42,1,43
Saiha,2,5,0,38,0,5,0,38,37,1,38
Saitual,6,1,0,12,1,1,0,12,11,1,12
Serchhip,8,4,0,44,1,4,0,44,40,4,44
