district,Total Br(s),Export No.,Amt.,Education No.,Amt.,Housing No.,Amt.,Social Infra. No.,Amt.,Renew- able No.,Amt.,Others No.,Amt.,Total Other PS O/S No.,Amt.
Aizawl,110,0,37370.47,159,37370.47,3619,37370.47,1,37370.47,0,37370.47,3351,37370.47,7130,37370.47
Champhai,17,0,2925.11,1,2925.11,404,2925.11,0,2925.11,0,2925.11,14,2925.11,419,2925.11
Hnahthial,5,0,1456.36,2,1456.36,140,1456.36,0,1456.36,0,1456.36,0,1456.36,142,1456.36
Khawzawl,8,0,1375.37,1,1375.37,154,1375.37,0,1375.37,0,1375.37,0,1375.37,155,1375.37
Kolasib,20,0,6343.25,15,6343.25,647,6343.25,0,6343.25,0,6343.25,2062,6343.25,2724,6343.25
Lawngtlai,12,0,15397.87,5,15397.87,1796,15397.87,0,15397.87,0,15397.87,2,15397.87,1803,15397.87
Lunglei,22,0,13536.86,15,13536.86,1656,13536.86,0,13536.86,0,13536.86,11,13536.86,1682,13536.86
Mamit,13,0,2784.71,0,2784.71,335,2784.71,0,2784.71,0,2784.71,1,2784.71,336,2784.71
Saiha,7,0,9428,2,9428,1193,9428,0,9428,0,9428,0,9428,1195,9428
Saitual,10,0,1099.18,4,1099.18,130,1099.18,0,1099.18,0,1099.18,1,1099.18,135,1099.18
Serchhip,15,0,5689.48,10,5689.48,682,5689.48,0,5689.48,0,5689.48,3,5689.48,695,5689.48
