District,Total Br,Agri,Edn,Housing,Personal,Other NPS,Total NPS
Aizawl,110,1,0,28,292,1447,1768
Champhai,17,0,0,6,11,44,61
Hnahthial,5,0,0,1,2,9,12
Khawzawl,8,0,0,0,14,19,33
Kolasib,20,0,0,3,26,40,69
Lawngtlai,12,0,0,5,47,113,165
Lunglei,22,0,0,2,29,78,109
Mamit,13,0,0,5,19,40,64
Saiha,7,0,0,0,32,63,95
Saitual,10,0,0,0,2,18,20
Serchhip,15,0,0,0,11,31,42
