District,Total Br,Crop,Term Loan,Agri Infra,Ancillary,Agri Total NPA
Aizawl,110,650,866,0,41,1557
Champhai,17,131,921,0,7,1059
Hnahthial,5,26,49,0,0,75
Khawzawl,8,47,149,0,1,197
Kolasib,20,138,228,0,59,425
Lawngtlai,12,358,340,0,15,713
Lunglei,22,56,243,0,3,302
Mamit,13,43,182,0,0,225
Saiha,7,139,518,0,3,660
Saitual,10,71,115,0,2,188
Serchhip,15,29,149,0,7,185
