District,Total Br,Current Year Female Account,Current Year Male Accountto SC,Current Year Male Accountto ST,Total Current Year SUI Disb
Aizawl,110,43,5,30,78
Champhai,17,0,0,0,0
Hnahthial,5,0,0,0,0
Khawzawl,5,0,0,0,0
Kolasib,20,1,0,0,1
Lawngtlai,12,0,0,0,0
Lunglei,22,2,0,0,2
Mamit,13,1,0,0,1
Saiha,7,0,0,0,0
Saitual,10,0,0,3,3
Serchhip,15,0,0,0,0
