district,total_branch,branch_rural,branch_semi_urban,branch_urban,branch_rural_prev_fy,branch_rural_prev_q,branch_rural_growth_abs,branch_rural_growth_pct,branch_semi_urban_prev_fy,branch_semi_urban_prev_q,branch_semi_urban_growth_abs,branch_semi_urban_growth_pct,branch_urban_prev_fy,branch_urban_prev_q,branch_urban_growth_abs,branch_urban_growth_pct,branch_total_prev_fy,branch_total_prev_q,branch_total_growth_abs,branch_total_growth_pct
Balod,105,69,35,1,66,66,3,4.5455,37,38,-2,-5.4054,0,0,1,0,103,104,2,1.9417
Baloda Bazar,120,56,64,0,58,58,-2,-3.4483,62,62,2,3.2258,0,0,0,0,120,120,0,0
Balrampur,67,54,12,1,49,48,5,10.2041,15,14,-3,-20,0,0,1,0,64,62,3,4.6875
Bastar,111,68,4,39,66,66,2,3.0303,8,9,-4,-50,33,31,6,18.1818,107,106,4,3.7383
Bemetara,79,52,26,1,49,47,3,6.1224,26,27,0,0,1,0,0,0,76,74,3,3.9474
Bijapur,42,34,8,0,35,36,-1,-2.8571,7,5,1,14.2857,0,0,0,0,42,41,0,0
Bilaspur,250,69,44,137,71,70,-2,-2.8169,43,41,1,2.3256,136,134,1,0.7353,250,245,0,0
Dantewada,42,21,21,0,22,23,-1,-4.5455,19,18,2,10.5263,0,0,0,0,41,41,1,2.439
Dhamtari,113,53,22,38,54,54,-1,-1.8519,28,29,-6,-21.4286,28,29,10,35.7143,110,112,3,2.7273
Durg,288,74,40,174,76,76,-2,-2.6316,38,35,2,5.2632,169,170,5,2.9586,283,281,5,1.7668
Gariaband,56,33,23,0,34,34,-1,-2.9412,22,22,1,4.5455,0,0,0,0,56,56,0,0
Gaurela-Pendra-Marwahi,22,7,15,0,7,7,0,0,13,12,2,15.3846,0,0,0,0,20,19,2,10
Janjgir-Champa,166,87,77,2,88,86,-1,-1.1364,72,72,5,6.9444,3,2,-1,-33.3333,163,160,3,1.8405
Jashpur,84,41,42,1,40,39,1,2.5,40,38,2,5,0,0,1,0,80,77,4,5
Kabirdham,79,41,36,2,37,37,4,10.8108,35,37,1,2.8571,2,2,0,0,74,76,5,6.7568
Kanker,95,60,34,1,57,56,3,5.2632,32,34,2,6.25,1,1,0,0,90,91,5,5.5556
Kondagaon,55,28,26,1,28,26,0,0,23,21,3,13.0435,1,1,0,0,52,48,3,5.7692
Korba,126,41,27,58,40,40,1,2.5,27,26,0,0,63,62,-5,-7.9365,130,128,-4,-3.0769
Korea,89,40,47,2,40,40,0,0,46,47,1,2.1739,2,2,0,0,88,89,1,1.1364
Mahasamund,124,51,72,1,52,50,-1,-1.9231,70,69,2,2.8571,1,1,0,0,123,120,1,0.813
Mungeli,52,23,28,1,22,22,1,4.5455,25,24,3,12,1,1,0,0,48,47,4,8.3333
Narayanpur,20,7,13,0,8,7,-1,-12.5,12,11,1,8.3333,0,0,0,0,20,18,0,0
Raigarh,175,83,41,51,85,85,-2,-2.3529,38,36,3,7.8947,51,49,0,0,174,170,1,0.5747
Raipur,504,101,68,335,103,103,-2,-1.9417,60,59,8,13.3333,322,321,13,4.0373,485,483,19,3.9175
Rajnandgaon,186,95,37,54,95,95,0,0,36,31,1,2.7778,50,51,4,8,181,177,5,2.7624
Sukma,32,26,6,0,25,25,1,4,6,4,0,0,0,0,0,0,31,29,1,3.2258
Surajpur,84,57,24,3,55,55,2,3.6364,26,24,-2,-7.6923,3,1,0,0,84,80,0,0
Surguja,102,56,3,43,55,55,1,1.8182,11,10,-8,-72.7273,34,34,9,26.4706,100,99,2,2
