district,total_deposit,total_advance,overall_cd_ratio,deposits_prev_fy,deposits_prev_quarter,deposits_growth_abs,deposits_growth_pct,advances_prev_fy,advances_prev_quarter,advances_growth_abs,advances_growth_pct,cd_ratio_prev_fy,cd_ratio_prev_quarter,cd_ratio_benchmark
Balod,32,46,1,27,27,5,18.5185,51,52,-5,-9.8039,0,0,1
Baloda Bazar,18,69,1,18,18,0,0,69,68,0,0,1,1,0
Balrampur,16,15,0,15,15,1,6.6667,12,12,3,25,0,0,0
Bastar,17,4,84,19,19,-2,-10.5263,9,10,-5,-55.5556,78,77,6
Bemetara,20,32,1,19,18,1,5.2632,34,33,-2,-5.8824,0,0,1
Bijapur,8,10,0,8,8,0,0,11,11,-1,-9.0909,0,0,0
Bilaspur,25,30,259,25,25,0,0,26,27,4,15.3846,244,245,15
Dantewada,6,42,0,6,6,0,0,42,42,0,0,0,0,0
Dhamtari,18,23,46,18,17,0,0,28,27,-5,-17.8571,46,46,0
Durg,47,28,370,44,43,3,6.8182,34,33,-6,-17.6471,374,372,-4
Gariaband,18,23,0,14,14,4,28.5714,21,21,2,9.5238,1,1,-1
Gaurela-Pendra-Marwahi,0,22,1,0,0,0,0,21,20,1,4.7619,1,0,0
Janjgir-Champa,45,93,2,40,39,5,12.5,93,92,0,0,5,5,-3
Jashpur,9,45,2,11,11,-2,-18.1818,45,43,0,0,1,1,1
Kabirdham,14,53,1,12,12,2,16.6667,53,53,0,0,1,1,0
Kanker,19,50,1,21,20,-2,-9.5238,44,46,6,13.6364,1,1,0
Kondagaon,4,32,0,3,3,1,33.3333,33,32,-1,-3.0303,0,0,0
Korba,18,19,128,20,21,-2,-10,17,15,2,11.7647,129,130,-1
Korea,10,59,2,13,13,-3,-23.0769,55,55,4,7.2727,0,0,2
Mahasamund,24,67,0,21,21,3,14.2857,65,65,2,3.0769,1,1,-1
Mungeli,6,26,7,5,5,1,20,26,27,0,0,7,7,0
Narayanpur,1,19,0,0,0,1,0,17,17,2,11.7647,0,0,0
Raigarh,32,64,90,38,38,-6,-15.7895,60,60,4,6.6667,95,92,-5
Raipur,67,66,617,74,69,-7,-9.4595,73,72,-7,-9.589,622,632,-5
Rajnandgaon,38,33,91,36,36,2,5.5556,43,42,-10,-23.2558,76,75,15
Sukma,3,10,0,3,3,0,0,8,7,2,25,0,0,0
Surajpur,11,35,2,12,12,-1,-8.3333,33,32,2,6.0606,0,0,2
Surguja,18,1,78,17,17,1,5.8824,9,9,-8,-88.8889,73,74,5
