district,acp_agri_target,acp_agri_achievement,acp_agri_pct,acp_msme_target,acp_msme_achievement,acp_msme_pct,acp_other_psa_target,acp_other_psa_achievement,acp_other_psa_pct,acp_total_target,acp_total_achievement,acp_total_pct
Balod,963.77,650.73,67.5192,216.03,194.02,89.8116,97.5,49.58,50.8513,1277.3,894.33,70.0172
Baloda Bazar,1141.8,1202.81,105.3433,324.08,411.04,126.8329,169.04,78.63,46.5156,1634.92,1692.48,103.5207
Balrampur,245,216.1,88.2041,90,95.35,105.9444,70.02,27.78,39.6744,405.02,339.23,83.7564
Bastar,523.1,437.89,83.7106,335.19,374.46,111.7157,89.57,39.14,43.6977,947.86,851.49,89.8329
Bemetara,1351.04,964.75,71.408,161.02,139.62,86.7097,65.92,28.43,43.128,1577.98,1132.8,71.788
Bijapur,67.27,81.78,121.5698,6.29,23.49,373.4499,11.48,5.39,46.9512,85.04,110.66,130.127
Bilaspur,714.03,817.69,114.5176,1093.57,2873.92,262.8016,248.81,231.19,92.9183,2056.41,3922.8,190.7596
Dantewada,69.05,39.2,56.7705,23.58,59.73,253.3079,7.71,9.89,128.275,100.34,108.82,108.4513
Dhamtari,868.15,922.26,106.2328,307.33,360.94,117.4438,98.39,56.82,57.7498,1273.87,1340.02,105.1928
Durg,1282.87,1350.56,105.2765,962.37,3715.55,386.0833,158.63,296.67,187.0201,2403.87,5362.78,223.0894
Gariaband,431.82,386.98,89.616,71.07,85.08,119.713,77.16,13.49,17.4832,580.05,485.55,83.7083
Gaurela-Pendra-Marwahi,421.21,124.99,29.674,221,78.22,35.3937,102.1,11.62,11.381,744.31,214.83,28.863
Janjgir-Champa,1212.68,859.72,70.8942,424.14,602.73,142.1064,193.86,108.48,55.9579,1830.68,1570.93,85.8113
Jashpur,434.34,236.21,54.3837,73.69,204.05,276.9032,49.96,39.47,79.0032,557.99,479.73,85.9747
Kabirdham,872.75,796.63,91.2781,130.21,209.37,160.7941,64.55,111.68,173.0132,1067.51,1117.68,104.6997
Kanker,460.7,552.96,120.026,197.1,213.06,108.0974,126.61,33.46,26.4276,784.41,799.48,101.9212
Kondagaon,411.68,267.26,64.9194,61.76,116.34,188.3744,45.15,24.19,53.577,518.59,407.79,78.6344
Korba,461.95,242.08,52.4039,468.85,964.57,205.731,126.74,89.55,70.6565,1057.54,1296.2,122.5675
Korea,285.01,246.96,86.6496,97.03,231.96,239.0601,62.27,29.84,47.9203,444.31,508.76,114.5056
Mahasamund,1276.64,1138.01,89.141,189.47,226.41,119.4965,87.95,48.64,55.3042,1554.06,1413.06,90.927
Mungeli,515.21,409.68,79.5171,138.95,105.09,75.6315,135.35,27.59,20.3842,789.51,542.36,68.6958
Narayanpur,39.47,38.77,98.2265,18.38,24.75,134.6572,8.26,8.8,106.5375,66.11,72.32,109.3934
Raigarh,1403.08,855.98,61.0072,700.4,1208.62,172.5614,383.55,109.01,28.4213,2487.03,2173.61,87.3978
Raipur,2873.74,3272.13,113.8631,5343.71,12060.57,225.6966,1328.02,906.5,68.2595,9545.47,16239.2,170.1247
Rajnandgaon,1280.01,1481.07,115.7077,235.02,647.12,275.3468,239.99,264.4,110.1713,1755.02,2392.59,136.3284
Sukma,81.35,53.44,65.6915,15.96,23.12,144.8622,6.15,3.68,59.8374,103.46,80.24,77.5565
Surajpur,522.36,313.84,60.0812,87.65,213.18,243.2173,81.14,28.08,34.6069,691.15,555.1,80.3154
Surguja,510.38,511.71,100.2606,215,682.29,317.3442,46.61,64.61,138.6183,771.99,1258.61,163.0345
