district,total_atm,atm_rural,atm_semi_urban,atm_urban,atm_rural_prev_fy,atm_rural_prev_q,atm_rural_growth_abs,atm_rural_growth_pct,atm_semi_urban_prev_fy,atm_semi_urban_prev_q,atm_semi_urban_growth_abs,atm_semi_urban_growth_pct,atm_urban_prev_fy,atm_urban_prev_q,atm_urban_growth_abs,atm_urban_growth_pct,atm_total_prev_fy,atm_total_prev_q,atm_total_growth_abs,atm_total_growth_pct
Balod,79,32,46,1,27,27,5,18.5185,51,52,-5,-9.8039,0,0,1,0,78,79,1,1.2821
Baloda Bazar,88,18,69,1,18,18,0,0,69,68,0,0,1,1,0,0,88,87,0,0
Balrampur,31,16,15,0,15,15,1,6.6667,12,12,3,25,0,0,0,0,27,27,4,14.8148
Bastar,105,17,4,84,19,19,-2,-10.5263,9,10,-5,-55.5556,78,77,6,7.6923,106,106,-1,-0.9434
Bemetara,53,20,32,1,19,18,1,5.2632,34,33,-2,-5.8824,0,0,1,0,53,51,0,0
Bijapur,18,8,10,0,8,8,0,0,11,11,-1,-9.0909,0,0,0,0,19,19,-1,-5.2632
Bilaspur,314,25,30,259,25,25,0,0,26,27,4,15.3846,244,245,15,6.1475,295,297,19,6.4407
Dantewada,48,6,42,0,6,6,0,0,42,42,0,0,0,0,0,0,48,48,0,0
Dhamtari,87,18,23,46,18,17,0,0,28,27,-5,-17.8571,46,46,0,0,92,90,-5,-5.4348
Durg,445,47,28,370,44,43,3,6.8182,34,33,-6,-17.6471,374,372,-4,-1.0695,452,448,-7,-1.5487
Gariaband,41,18,23,0,14,14,4,28.5714,21,21,2,9.5238,1,1,-1,-100,36,36,5,13.8889
Gaurela-Pendra-Marwahi,23,0,22,1,0,0,0,0,21,20,1,4.7619,1,0,0,0,22,20,1,4.5455
Janjgir-Champa,140,45,93,2,40,39,5,12.5,93,92,0,0,5,5,-3,-60,138,136,2,1.4493
Jashpur,56,9,45,2,11,11,-2,-18.1818,45,43,0,0,1,1,1,100,57,55,-1,-1.7544
Kabirdham,68,14,53,1,12,12,2,16.6667,53,53,0,0,1,1,0,0,66,66,2,3.0303
Kanker,70,19,50,1,21,20,-2,-9.5238,44,46,6,13.6364,1,1,0,0,66,67,4,6.0606
Kondagaon,36,4,32,0,3,3,1,33.3333,33,32,-1,-3.0303,0,0,0,0,36,35,0,0
Korba,165,18,19,128,20,21,-2,-10,17,15,2,11.7647,129,130,-1,-0.7752,166,166,-1,-0.6024
Korea,71,10,59,2,13,13,-3,-23.0769,55,55,4,7.2727,0,0,2,0,68,68,3,4.4118
Mahasamund,91,24,67,0,21,21,3,14.2857,65,65,2,3.0769,1,1,-1,-100,87,87,4,4.5977
Mungeli,39,6,26,7,5,5,1,20,26,27,0,0,7,7,0,0,38,39,1,2.6316
Narayanpur,20,1,19,0,0,0,1,0,17,17,2,11.7647,0,0,0,0,17,17,3,17.6471
Raigarh,186,32,64,90,38,38,-6,-15.7895,60,60,4,6.6667,95,92,-5,-5.2632,193,190,-7,-3.6269
Raipur,750,67,66,617,74,69,-7,-9.4595,73,72,-7,-9.589,622,632,-5,-0.8039,769,773,-19,-2.4707
Rajnandgaon,162,38,33,91,36,36,2,5.5556,43,42,-10,-23.2558,76,75,15,19.7368,155,153,7,4.5161
Sukma,13,3,10,0,3,3,0,0,8,7,2,25,0,0,0,0,11,10,2,18.1818
Surajpur,48,11,35,2,12,12,-1,-8.3333,33,32,2,6.0606,0,0,2,0,45,44,3,6.6667
Surguja,97,18,1,78,17,17,1,5.8824,9,9,-8,-88.8889,73,74,5,6.8493,99,100,-2,-2.0202
