district,total_atm,atm_rural,atm_semi_urban,atm_urban,atm_rural_prev_fy,atm_rural_prev_q,atm_rural_growth_abs,atm_rural_growth_pct,atm_semi_urban_prev_fy,atm_semi_urban_prev_q,atm_semi_urban_growth_abs,atm_semi_urban_growth_pct,atm_urban_prev_fy,atm_urban_prev_q,atm_urban_growth_abs,atm_urban_growth_pct,atm_total_prev_fy,atm_total_prev_q,atm_total_growth_abs,atm_total_growth_pct
Balod,93,47,45,1,44,42,3,6.8182,46,48,-1,-2.1739,1,1,0,0,91,91,2,2.1978
Baloda Bazar,100,26,74,0,24,25,2,8.3333,75,70,-1,-1.3333,1,2,-1,-100,100,97,0,0
Balrampur,49,27,21,1,27,25,0,0,17,18,4,23.5294,0,1,1,,44,44,5,11.3636
Bastar,118,35,3,80,35,37,0,0,3,3,0,0,84,88,-4,-4.7619,122,128,-4,-3.2787
Bemetara,66,31,34,1,29,24,2,6.8966,27,30,7,25.9259,1,1,0,0,57,55,9,15.7895
Bijapur,25,13,12,0,13,13,0,0,11,11,1,9.0909,0,0,0,,24,24,1,4.1667
Bilaspur,326,32,33,261,29,23,3,10.3448,34,33,-1,-2.9412,255,262,6,2.3529,318,318,8,2.5157
Dantewada,53,9,44,0,9,9,0,0,41,41,3,7.3171,0,0,0,,50,50,3,6
Dhamtari,76,26,14,36,26,26,0,0,15,18,-1,-6.6667,40,43,-4,-10,81,87,-5,-6.1728
Durg,438,49,38,351,51,52,-2,-3.9216,36,35,2,5.5556,368,370,-17,-4.6196,455,457,-17,-3.7363
Gariaband,52,24,27,1,26,25,-2,-7.6923,28,25,-1,-3.5714,1,1,0,0,55,51,-3,-5.4545
Gaurela-Pendra-Marwahi,33,2,30,1,1,1,1,100,25,25,5,20,1,1,0,0,27,27,6,22.2222
Janjgir-Champa,121,33,86,2,34,36,-1,-2.9412,87,79,-1,-1.1494,2,2,0,0,123,117,-2,-1.626
Jashpur,66,13,52,1,12,11,1,8.3333,50,48,2,4,4,5,-3,-75,66,64,0,0
Kabirdham,68,20,47,1,20,18,0,0,50,52,-3,-6,1,1,0,0,71,71,-3,-4.2254
Kanker,81,34,46,1,33,28,1,3.0303,42,48,4,9.5238,1,1,0,0,76,77,5,6.5789
Khairagarh-Chhuikhadan-Gandai,27,10,15,2,10,10,0,0,14,14,1,7.1429,2,2,0,0,26,26,1,3.8462
Kondagaon,50,12,36,2,12,10,0,0,36,39,0,0,2,2,0,0,50,51,0,0
Korba,167,26,18,123,26,26,0,0,19,22,-1,-5.2632,127,125,-4,-3.1496,172,173,-5,-2.907
Korea,45,4,41,0,4,4,0,0,41,40,0,0,0,1,0,,45,45,0,0
Mahasamund,108,38,70,0,38,39,0,0,69,67,1,1.4493,0,0,0,,107,106,1,0.9346
Manendragarh-Chirmiri-Bharatpur,37,9,28,0,8,10,1,12.5,28,25,0,0,0,1,0,,36,36,1,2.7778
Mohla-Manpur-Ambagarh Chowki,20,18,1,1,17,15,1,5.8824,1,1,0,0,1,1,0,0,19,17,1,5.2632
Mungeli,44,9,34,1,11,10,-2,-18.1818,33,32,1,3.0303,1,2,0,0,45,44,-1,-2.2222
Narayanpur,24,0,24,0,0,1,0,,20,20,4,20,0,0,0,,20,21,4,20
Raigarh,154,32,34,88,32,31,0,0,36,39,-2,-5.5556,92,90,-4,-4.3478,160,160,-6,-3.75
Raipur,763,83,67,613,88,90,-5,-5.6818,65,60,2,3.0769,621,644,-8,-1.2882,774,794,-11,-1.4212
Rajnandgaon,127,22,16,89,22,24,0,0,17,17,-1,-5.8824,94,93,-5,-5.3191,133,134,-6,-4.5113
Sakti,46,21,25,0,22,19,-1,-4.5455,26,27,-1,-3.8462,0,0,0,,48,46,-2,-4.1667
Sarangarh-Bilaigarh,52,15,37,0,17,14,-2,-11.7647,29,31,8,27.5862,0,1,0,,46,46,6,13.0435
Sukma,16,6,10,0,6,7,0,0,9,8,1,11.1111,0,0,0,,15,15,1,6.6667
Surajpur,61,25,36,0,21,20,4,19.0476,36,37,0,0,2,2,-2,-100,59,59,2,3.3898
Surguja,110,33,2,75,32,28,1,3.125,3,3,-1,-33.3333,77,83,-2,-2.5974,112,114,-2,-1.7857
