district,acp_agri_target,acp_agri_achievement,acp_agri_pct,acp_msme_target,acp_msme_achievement,acp_msme_pct,acp_other_psa_target,acp_other_psa_achievement,acp_other_psa_pct,acp_total_target,acp_total_achievement,acp_total_pct
Balod,1341.12,864.29,64.4454,406.68,324.75,79.8539,68.26,39.24,57.4861,1816.06,1228.28,67.6343
Baloda Bazar,2972.83,1626.46,54.7108,998.52,619.55,62.0468,123.45,94.44,76.5006,4094.8,2340.45,57.1566
Balrampur,478.41,239.6,50.0826,330.35,212.12,64.2107,82.66,13.13,15.8843,891.42,464.85,52.1471
Bastar,1082.95,652.32,60.2355,1237.35,737.93,59.6379,61.11,46.85,76.665,2381.41,1437.1,60.3466
Bemetara,2102.64,1297.02,61.6853,485.7,299.97,61.7603,27.06,23.94,88.4701,2615.4,1620.93,61.9764
Bijapur,175.33,128.38,73.2219,88.72,25.1,28.2913,4.02,2.15,53.4826,268.07,155.63,58.0557
Bilaspur,2663.49,1534.12,57.5981,6841.91,5026.86,73.4716,306.95,392.27,127.7961,9812.35,6953.25,70.8622
Dantewada,80.83,44.6,55.1775,185.35,80.91,43.6525,16.47,18.1,109.8968,282.65,143.61,50.8084
Dhamtari,2567.56,1474.69,57.4355,744.19,658.0,88.4183,61.96,107.09,172.8373,3373.71,2239.78,66.3892
Durg,2920.16,1932.33,66.1721,5227.91,7810.38,149.3978,1448.19,383.48,26.48,9596.26,10126.19,105.5223
Gariaband,1001.91,653.47,65.2224,176.59,180.03,101.948,66.79,21.78,32.6097,1245.29,855.28,68.6812
Gaurela-Pendra-Marwahi,322.44,195.72,60.6997,266.63,148.85,55.8264,19.28,11.57,60.0104,608.35,356.14,58.542
Janjgir-Champa,1305.41,800.37,61.3118,1270.08,781.15,61.504,77.43,69.5,89.7585,2652.92,1651.02,62.2341
Jashpur,622.7,338.61,54.3777,688.82,341.93,49.64,52.35,34.03,65.0048,1363.87,714.57,52.3928
Kabirdham,1749.03,1095.5,62.6347,701.84,374.22,53.3198,172.38,470.16,272.7463,2623.25,1939.88,73.9495
Kanker,1327.68,741.07,55.8169,596.9,359.67,60.2563,37.85,35.1,92.7345,1962.43,1135.84,57.8793
Khairagarh-Chhuikhadan-Gandai,923.4,580.54,62.8698,122.02,67.72,55.4991,85.2,68.47,80.3638,1130.62,716.73,63.3927
Kondagaon,737.95,422.35,57.2329,328.81,193.22,58.7634,32.01,25.1,78.413,1098.77,640.67,58.3079
Korba,665.09,382.35,57.4885,3044.92,1806.47,59.3273,105.37,89.96,85.3753,3815.38,2278.78,59.7262
Korea,206.23,118.0,57.2177,172.14,148.04,85.9998,77.57,17.96,23.1533,455.94,284,62.2889
Mahasamund,2631.39,1605.89,61.0282,640.31,485.15,75.768,94.78,73.43,77.4742,3366.48,2164.47,64.2948
Manendragarh-Chirmiri-Bharatpur,262.42,169.56,64.614,374.56,190.97,50.9852,29.19,10.86,37.2045,666.17,371.39,55.75
Mohla-Manpur-Ambagarh Chowki,269.59,192.51,71.4084,39.13,26.65,68.1063,62.74,37.94,60.4718,371.46,257.1,69.2134
Mungeli,836.27,512.59,61.2948,391.67,205.28,52.4115,27.01,16.15,59.7927,1254.95,734.02,58.49
Narayanpur,99.55,62.63,62.9131,68.37,47.78,69.8845,8.29,3.92,47.2859,176.21,114.33,64.8828
Raigarh,1449.18,826.99,57.0661,3595.28,2709.51,75.363,90.73,87.98,96.969,5135.19,3624.48,70.5812
Raipur,7549.55,5011.13,66.3765,25286.14,31013.49,122.6502,4060.34,3151.11,77.607,36896.03,39175.73,106.1787
Rajnandgaon,2531.41,1610.38,63.6159,927.51,2015.23,217.2731,221.82,212.27,95.6947,3680.74,3837.88,104.2693
Sakti,818.99,499.53,60.9934,715.8,485.51,67.8276,37.44,19.33,51.6293,1572.23,1004.37,63.8819
Sarangarh-Bilaigarh,833.78,478.39,57.376,333.83,194.19,58.1703,18.01,15.37,85.3415,1185.62,687.95,58.0245
Sukma,135.65,83.36,61.4523,107.6,42.69,39.6747,29.43,4.46,15.1546,272.68,130.51,47.862
Surajpur,802.28,390.97,48.7324,338.54,349.33,103.1872,89.06,24.89,27.9475,1229.88,765.19,62.2166
Surguja,1200.78,568.54,47.3476,1567.88,1208.87,77.1022,46.04,52.81,114.7046,2814.7,1830.22,65.0236
