district,total_branch,branch_rural,branch_semi_urban,branch_urban,branch_rural_prev_fy,branch_rural_prev_q,branch_rural_growth_abs,branch_rural_growth_pct,branch_semi_urban_prev_fy,branch_semi_urban_prev_q,branch_semi_urban_growth_abs,branch_semi_urban_growth_pct,branch_urban_prev_fy,branch_urban_prev_q,branch_urban_growth_abs,branch_urban_growth_pct,branch_total_prev_fy,branch_total_prev_q,branch_total_growth_abs,branch_total_growth_pct
Balod,113,75,37,1,74,74,1,1.3514,37,37,0,0,1,1,0,0,112,112,1,0.8929
Baloda Bazar,114,50,64,0,49,49,1,2.0408,64,63,0,0,0,0,0,,113,112,1,0.885
Balrampur,79,64,14,1,61,61,3,4.918,13,12,1,7.6923,1,1,0,0,75,74,4,5.3333
Bastar,120,74,4,42,74,74,0,0,4,4,0,0,41,40,1,2.439,119,118,1,0.8403
Bemetara,88,61,26,1,60,60,1,1.6667,26,26,0,0,1,1,0,0,87,87,1,1.1494
Bijapur,50,40,10,0,39,39,1,2.5641,9,8,1,11.1111,0,0,0,,48,47,2,4.1667
Bilaspur,270,69,38,163,69,69,0,0,38,37,0,0,157,157,6,3.8217,264,263,6,2.2727
Dantewada,46,24,22,0,22,22,2,9.0909,22,22,0,0,0,0,0,,44,44,2,4.5455
Dhamtari,113,55,21,37,55,55,0,0,21,21,0,0,36,36,1,2.7778,112,112,1,0.8929
Durg,303,77,40,186,76,77,1,1.3158,40,40,0,0,187,186,-1,-0.5348,303,303,0,0
Gariaband,68,39,29,0,38,38,1,2.6316,28,28,1,3.5714,0,0,0,,66,66,2,3.0303
Gaurela-Pendra-Marwahi,30,9,21,0,9,9,0,0,20,19,1,5,0,0,0,,29,28,1,3.4483
Janjgir-Champa,125,62,61,2,60,60,2,3.3333,59,58,2,3.3898,2,2,0,0,121,120,4,3.3058
Jashpur,96,49,46,1,46,46,3,6.5217,43,43,3,6.9767,2,2,-1,-50,91,91,5,5.4945
Kabirdham,84,46,36,2,46,46,0,0,36,36,0,0,2,2,0,0,84,84,0,0
Kanker,105,64,40,1,63,61,1,1.5873,40,40,0,0,1,1,0,0,104,102,1,0.9615
Khairagarh-Chhuikhadan-Gandai,42,22,18,2,21,21,1,4.7619,16,16,2,12.5,2,2,0,0,39,39,3,7.6923
Kondagaon,57,28,28,1,28,28,0,0,27,27,1,3.7037,1,1,0,0,56,56,1,1.7857
Korba,132,44,29,59,44,44,0,0,28,28,1,3.5714,62,62,-3,-4.8387,134,134,-2,-1.4925
Korea,37,17,19,1,16,14,1,6.25,20,20,-1,-5,1,1,0,0,37,35,0,0
Mahasamund,133,59,73,1,59,59,0,0,73,70,0,0,1,1,0,0,133,130,0,0
Manendragarh-Chirmiri-Bharatpur,58,25,32,1,24,26,1,4.1667,29,29,3,10.3448,1,1,0,0,54,56,4,7.4074
Mohla-Manpur-Ambagarh Chowki,32,30,1,1,30,30,0,0,1,1,0,0,1,1,0,0,32,32,0,0
Mungeli,53,23,29,1,23,23,0,0,28,28,1,3.5714,1,1,0,0,52,52,1,1.9231
Narayanpur,23,9,14,0,7,7,2,28.5714,14,14,0,0,0,0,0,,21,21,2,9.5238
Raigarh,149,65,28,56,65,65,0,0,28,28,0,0,56,56,0,0,149,149,0,0
Raipur,557,108,69,380,106,106,2,1.8868,69,67,0,0,374,371,6,1.6043,549,544,8,1.4572
Rajnandgaon,133,56,24,53,55,54,1,1.8182,24,24,0,0,52,52,1,1.9231,131,130,2,1.5267
Sakti,56,33,23,0,33,33,0,0,22,22,1,4.5455,0,0,0,,55,55,1,1.8182
Sarangarh-Bilaigarh,53,32,21,0,32,32,0,0,20,19,1,5,0,0,0,,52,51,1,1.9231
Sukma,35,28,7,0,27,27,1,3.7037,7,6,0,0,0,0,0,,34,33,1,2.9412
Surajpur,92,63,27,2,61,61,2,3.2787,26,26,1,3.8462,3,3,-1,-33.3333,90,90,2,2.2222
Surguja,106,59,3,44,57,57,2,3.5088,3,3,0,0,44,43,0,0,104,103,2,1.9231
